Price,Close,High,Low,Open,Volume
Ticker,DCM.VN,DCM.VN,DCM.VN,DCM.VN,DCM.VN
Date,,,,,
2023-07-17,22931.7578125,23299.64697526738,22809.12809157754,23217.89382798574,4640200
2023-07-19,23504.029296875,23871.918451086956,23381.399578804347,23708.412160326086,5625000
2023-07-20,23790.166015625,23790.166015625,23463.15342434493,23585.783146074955,3640600
2023-07-21,23790.166015625,23953.672311265032,23626.659719984964,23912.795737355023,3234900
2023-07-24,23912.796875,24117.179754273504,23708.413995726496,23831.043723290597,4136600
2023-07-26,24198.931640625,24485.067656645904,23953.67219832137,23994.54877203864,4278500
2023-07-28,24934.708984375,25179.968417008196,23912.79468173668,24117.177542264344,6167300
2023-08-03,27142.04296875,27142.04296875,26447.141266236824,26488.017836972893,5713200
2023-08-04,26978.5390625,27550.811103219698,26733.279616477274,27223.798508522726,5104800
2023-08-07,26978.5390625,27346.428231534093,26774.156190814396,27346.428231534093,4328200
2023-08-08,27305.552734375,27387.305886274327,26733.280671079716,26855.910398928707,4150000
2023-08-09,27060.291015625,27305.550450811934,26896.78472550038,27223.797305749624,2360000
2023-08-10,26324.513671875,27101.16857834336,26201.883949801046,26978.53885626941,4837400
2023-08-11,26896.78515625,27182.92116855053,26242.759985277353,26324.513131648935,4147300
2023-08-14,27428.1796875,27714.315690201194,27019.41396935544,27305.549972056633,2751500
2023-08-15,27264.67578125,27755.19468586019,27264.67578125,27714.31811047601,2199700
2023-08-16,27264.67578125,27509.935233555098,27142.04605509745,27346.428932018363,2362400
2023-08-17,26855.908203125,27305.550501807455,26855.908203125,27264.67392919996,3212400
2023-08-18,25179.96875,26978.537946428572,25016.462459415587,26855.90822849026,6291200
2023-08-21,26365.388671875,26528.894958212208,25384.350953851743,25384.350953851743,3456500
2023-08-22,26528.896484375,26815.032501926038,25179.969544491523,26815.032501926038,3628000
2023-08-23,26283.63671875,26733.27902653577,26079.25385157465,26610.64930623056,2489400
2023-08-24,26569.7734375,26569.7734375,26242.760841346153,26324.513990384614,2787700
2023-08-25,26569.7734375,26815.032884615382,26324.513990384614,26569.7734375,3553200
2023-08-28,27877.82421875,28082.20709425403,26937.66299143145,26978.539566532258,9300100
2023-08-29,27429.625,28415.65727124183,27205.52675653595,27788.182189542484,5786000
2023-08-30,27250.34765625,27788.183465254933,27160.70835474918,27743.363814504522,4901900
2023-08-31,27788.18359375,27788.18359375,27250.347782258064,27250.347782258064,3849400
2023-09-05,28370.83984375,28415.659495951815,27833.0040173282,27967.46297393365,4955900
2023-09-06,28774.216796875,29267.23297252239,28639.757839880254,28863.85610153816,5850500
2023-09-07,28370.83984375,29132.773931180884,28281.200539346366,29043.13462677725,6352400
2023-09-08,30342.904296875,30342.904296875,30029.166733982645,30208.445341349703,5806900
2023-09-11,30432.54296875,31508.2145906204,30387.723317838732,31194.477034241532,10654400
2023-09-12,30791.099609375,30791.099609375,29670.60835721434,30432.54240868359,5828100
2023-09-13,30611.822265625,31597.854608002377,30208.445398288797,30925.55982910871,6598100
2023-09-14,30118.8046875,30880.73873465402,30073.98503766741,30611.820835658484,4533700
2023-09-15,30253.263671875,30835.91912037037,30073.985072337964,30432.54227141204,4202600
2023-09-18,30208.4453125,30701.461482288574,29849.88809810831,30253.26496429896,2884400
2023-09-19,31284.115234375,31284.115234375,29849.886455721706,30387.72224771669,6384000
2023-09-20,31239.294921875,32001.228944359755,31194.475273493543,31284.114570256454,4162000
2023-09-21,31194.474609375,31553.031788793105,30746.27813510237,31373.75319908405,4354400
2023-09-22,30208.4453125,30970.379393082345,29312.05227652077,30342.904267896884,4647500
2023-09-25,28236.37890625,30880.738200644842,28236.37890625,30477.361359126986,4567500
2023-09-26,28236.37890625,29356.870132688495,27788.182415674604,27788.182415674604,4064800
2023-09-27,29132.7734375,29132.7734375,27788.183894230766,28415.659014423076,2679300
2023-09-28,29401.689453125,29715.426993021152,29087.95191322885,29177.591210342034,3151700
2023-09-29,29356.87109375,29849.8872495229,29312.05144322519,29849.8872495229,1884000
2023-10-02,30253.263671875,30791.09947048611,29849.88682291667,30029.165422453705,3056100
2023-10-03,29356.87109375,30387.723055820614,28684.576335877864,29939.526550572522,5862100
2023-10-04,31373.75390625,31373.75390625,28953.492890625,29132.771484375,11004300
2023-10-05,31194.474609375,32225.32650020205,31194.474609375,31373.75319908405,6187200
2023-10-06,31553.03515625,31687.494112881748,30925.56002530185,31328.93689519709,4570800
2023-10-09,33256.1796875,33480.27793337264,31687.49196639151,31911.590212264153,7215700
2023-10-10,32628.705078125,33704.376674107145,32628.705078125,33704.376674107145,5816900
2023-10-11,33166.5390625,33256.17835726351,32090.867525337835,32718.34258868243,4575500
2023-10-12,32583.884765625,33569.91704188875,32180.50792533528,33166.54020159904,6047000
2023-10-13,32942.44140625,33166.53964710884,32090.868090986394,32090.868090986394,3757100
2023-10-16,33211.359375,33973.29339574899,32673.523595647774,33032.08078188259,6325500
2023-10-17,30925.55859375,33345.819701086955,30925.55859375,33345.819701086955,4328300
2023-10-18,29760.24609375,31553.03200301205,28774.213843655874,31284.11411662274,8358300
2023-10-19,29132.7734375,30029.166466346152,28684.576923076922,29849.88786057692,4944000
2023-10-20,29984.345703125,30029.165352905457,28953.493758174514,29132.77235729634,3798300
2023-10-23,29356.87109375,30118.805152671757,28953.49423902672,30118.805152671757,3484500
2023-10-24,28415.658203125,29312.051206378153,27474.445549709188,29132.77260572752,10792200
2023-10-25,26846.970703125,28415.658473758347,26802.151052535475,28415.658473758347,7789200
2023-10-26,25009.365234375,26443.59406502016,25009.365234375,26353.954763104837,8496600
2023-10-27,25547.201171875,25905.758381304826,24695.627799479167,25502.38152069627,3202300
2023-10-30,24202.611328125,25367.92224392361,24202.611328125,25367.92224392361,3364700
2023-10-31,24202.611328125,24516.348882378472,23037.30041232639,24202.611328125,5899100
2023-11-01,25099.00390625,25099.00390625,24023.33231026786,24202.610909598214,2188500
2023-11-02,26757.330078125,26757.330078125,25188.642385102597,25367.92097859087,5760400
2023-11-03,26264.314453125,26891.789542448805,25905.757259225684,26891.789542448805,4244600
2023-11-06,26219.49609375,26667.692608173074,25995.39783653846,26040.217487980768,2557400
2023-11-07,26533.232421875,27339.986110377955,25771.29838273332,26174.675226984797,4493400
2023-11-08,28146.740234375,28146.740234375,26533.232832404457,26712.511432623407,3695600
2023-11-09,28012.28125,28505.2974,27877.8223,27967.4616,4265600
2023-11-10,27519.263671875,28146.738739311888,27519.263671875,27519.263671875,3574600
2023-11-13,27339.986328125,27967.46142418033,26802.150531506148,27519.26492699795,2795900
2023-11-14,28012.28125,28057.1009,27519.2651,27698.5437,2889500
2023-11-15,27877.822265625,28684.575964630225,27743.363315790793,28594.936664740755,3215700
2023-11-16,28639.755859375,28819.034456303794,27698.543225498826,28057.10041935642,4283600
2023-11-17,27833.001953125,28863.853877314814,27339.985815469,28684.575281803543,4734400
2023-11-20,27922.640625,28101.919216492777,27339.985202648477,27339.985202648477,2666900
2023-11-21,28684.57421875,28684.57421875,28057.099157714845,28281.19739379883,3694300
2023-11-22,29087.953125,29491.32997881356,28729.39592161017,28729.39592161017,5361000
2023-11-23,28012.28125,29446.51005,28012.28125,29222.411799999998,4397400
2023-11-24,28594.935546875,28594.935546875,27339.985397482364,28057.09976856387,3554300
2023-11-27,27967.462890625,28774.216627854566,27922.64323855669,28505.29871544471,1274700
2023-11-28,27967.462890625,28057.10219476162,27429.62706580529,27833.003934420074,2463000
2023-11-29,28281.19921875,28281.19921875,27967.46166798732,28191.55991853209,2259600
2023-11-30,28684.57421875,28684.57421875,28057.099157714845,28505.295629882814,2943300
2023-12-01,28684.57421875,29043.131396484376,28415.65633544922,28684.57421875,2809000
2023-12-04,29760.24609375,29939.524684676206,28774.213843655874,28774.213843655874,5257000
2023-12-05,29446.509765625,30029.165209998097,29401.690116057838,29849.886611729453,3850000
2023-12-06,29849.888671875,29939.527977195947,29446.511797930743,29939.527977195947,2771500
2023-12-07,29177.591796875,30029.165136568743,28774.214951756912,30029.165136568743,4430800
2023-12-08,28998.3125,29580.967928902628,28819.0339064915,29132.771445131377,2022400
2023-12-11,29087.953125,29446.51032838983,29043.133474576272,29087.953125,1627100
2023-12-12,29491.330078125,29670.608680423633,29087.953222953078,29087.953222953078,2408500
2023-12-13,29132.7734375,29849.88786057692,28684.576923076922,29491.33064903846,2698100
2023-12-15,28236.37890625,28863.853993055556,28236.37890625,28594.936098710317,2120400
2023-12-18,27698.544921875,28505.298657463594,27698.544921875,28236.38074560073,2407100
2023-12-19,27922.640625,27967.460272873195,27160.7066111557,27877.82097712681,1631600
2023-12-20,28101.919921875,28236.37886886962,28057.100272876793,28146.739570873204,946200
2023-12-21,28101.919921875,28326.01816686603,27967.46097488038,28057.100272876793,982600
2023-12-22,28326.01953125,28415.658833564084,28012.28197315071,28146.740926621835,994600
2023-12-25,28505.296875,28639.755822523584,28236.37897995283,28460.477225825474,1689900
2023-12-26,29087.953125,29087.953125,28505.297669491523,28505.297669491523,2737600
2023-12-27,28953.494140625,29132.77274211494,28863.85483988003,29132.77274211494,2429100
