Price,Close,High,Low,Open,Volume
Ticker,DGW.VN,DGW.VN,DGW.VN,DGW.VN,DGW.VN
Date,,,,,
2020-01-02,4726.67919921875,4747.052497381475,4645.184609860934,4696.11878640569,2407624
2020-01-03,4747.05224609375,4787.799771400151,4696.118537814167,4736.865597551622,1903869
2020-01-06,4685.931640625,4736.865816831381,4645.184579001275,4736.865816831381,1616283
2020-01-07,4624.81103515625,4726.6793924093645,4604.437736160819,4685.9318632805225,1760006
2020-01-08,4543.31591796875,4624.810501249378,4461.8218002570575,4594.25009071526,2170863
2020-01-09,4655.37109375,4675.74485675875,4553.5032098441625,4563.68985856406,1955957
2020-01-10,4747.05224609375,4767.42600874695,4645.184363965639,4665.558126618839,2331200
2020-01-13,4818.3603515625,4828.5470004618455,4696.1187024945,4747.052412560191,2306630
2020-01-14,4859.107421875,4859.107421875,4797.986597225954,4828.547009550477,2284915
2020-01-15,5011.9091796875,5011.9091796875,4818.360068554333,4879.480889498379,3006758
2020-01-16,5032.283203125,5032.283203125,4930.414852550157,5011.90943989624,1735061
2020-01-17,5134.15087890625,5154.524641304748,5032.282998051641,5032.282998051641,3237201
2020-01-20,5113.77783203125,5164.711542163655,5083.217419724221,5154.524893250967,1493667
2020-01-21,5256.39306640625,5256.39306640625,5113.778111557234,5113.778111557234,2299750
2020-01-22,5256.39306640625,5307.32724489175,5225.832652428749,5276.766830914247,1920670
2020-01-30,4950.78857421875,5236.019394751144,4889.667750614516,5236.019394751144,3225595
2020-01-31,4818.3603515625,4981.3490617968455,4818.3603515625,4950.788649529845,2289314
2020-02-03,4726.67919921875,4797.986673926232,4482.195431145303,4777.612910194535,3150855
2020-02-04,4828.54736328125,4869.2944275093505,4706.305705027952,4747.052769256053,1869050
2020-02-05,4869.2939453125,4889.667708193474,4808.173122238529,4848.920648000477,1695562
2020-02-06,5062.84375,5093.404162872442,4838.733745222782,4869.294158095224,1917488
2020-02-07,5073.0302734375,5123.96444881954,5042.469861322069,5073.0302734375,2238115
2020-02-10,5409.1953125,5419.381961424574,5062.843662236932,5073.030311161506,3999713
2020-02-11,5460.12939453125,5500.876924142413,5297.140672793584,5419.382330489082,2713462
2020-02-12,5521.24951171875,5582.370332688344,5500.8762151081755,5500.8762151081755,2343508
2020-02-13,5572.18359375,5572.18359375,5470.315715647229,5490.689011926426,2638676
2020-02-14,5694.42578125,5745.359957983439,5561.997480425825,5582.3707786640225,2484189
2020-02-17,5765.73388671875,5806.4809499296825,5704.612593548872,5704.612593548872,2695631
2020-02-18,5786.1064453125,5847.227265094093,5674.051453856603,5806.480207096007,1990309
2020-02-19,5724.98583984375,5816.667072948195,5684.238780320311,5775.920013424757,1657982
2020-02-20,5561.99755859375,5714.799625372564,5511.063381144485,5714.799625372564,2602265
2020-02-21,5643.4912109375,5694.425384118772,5439.755449350292,5582.3703893475495,2403085
2020-02-24,5286.953125,5623.1181217248295,5266.579827430464,5623.1181217248295,2053348
2020-02-25,5561.99755859375,5602.744621211774,5164.711719399853,5205.459247586856,2186073
2020-02-26,5419.38134765625,5521.249222071901,5348.073416553275,5521.249222071901,1483652
2020-02-27,5419.38134765625,5449.941756537837,5307.326359900796,5439.755108766945,1976737
2020-02-28,5134.15087890625,5327.70045776963,5103.590468092973,5215.645462931301,2191970
2020-03-02,5113.77783203125,5123.964480943939,5032.283244022853,5113.77783203125,2304056
2020-03-03,5470.31591796875,5470.31591796875,5174.898455304992,5174.898455304992,2858261
2020-03-04,5480.5029296875,5602.744582260711,5399.008339449035,5470.3162804960575,2412351
2020-03-05,5358.26123046875,5531.437058629567,5358.26123046875,5500.876645752304,1929843
2020-03-06,5572.18359375,5602.744003737724,5154.524502061463,5327.700313848208,4978255
2020-03-09,5185.0849609375,5297.139953805324,5185.0849609375,5195.2716091731445,1532885
2020-03-10,5154.52490234375,5286.953200718161,4869.294076595685,4991.536191608401,3858939
2020-03-11,4797.986328125,5297.140011809202,4797.986328125,5297.140011809202,3431047
2020-03-12,4472.0087890625,4482.195438159804,4472.0087890625,4472.0087890625,1075369
2020-03-13,4472.0087890625,4584.063791408738,4166.404660453643,4166.404660453643,4033971
2020-03-16,4166.40478515625,4522.943101060946,4166.40478515625,4472.008922911993,2906419
2020-03-17,4217.3388671875,4258.085929436601,3891.360739703279,4095.0967493022467,2394239
2020-03-18,4196.96484375,4319.2064885071995,4095.096496073036,4258.0856661286,2723431
2020-03-19,3952.481689453125,4227.525399566288,3952.481689453125,4115.470399515715,3217358
2020-03-20,3972.85498046875,4033.975804834317,3850.6133317376157,3972.85498046875,1981697
2020-03-23,3697.8115234375,3932.108188034332,3697.8115234375,3932.108188034332,954531
2020-03-24,3585.756591796875,3738.5586564628607,3585.756591796875,3687.624712502361,1984599
2020-03-25,3830.23974609375,3830.23974609375,3657.0639243603086,3687.6245688878075,2116575
2020-03-26,3748.74560546875,3911.734322173531,3748.74560546875,3820.0530817329077,1813451
2020-03-27,3748.74560546875,3911.734322173531,3707.99830990031,3769.119136860725,2226087
2020-03-30,3565.382568359375,3667.2506816469804,3494.0750985640734,3667.2506816469804,1145101
2020-03-31,3606.130126953125,3718.185129692806,3483.8884750803722,3565.382832067379,1476866
2020-04-01,3779.3056640625,3779.3056640625,3606.1298487466474,3626.503378225496,1533728
2020-04-03,3891.360595703125,3942.29453802193,3738.5585359622314,3809.866241436141,3298275
2020-04-06,4156.21728515625,4156.21728515625,3942.294408544883,3952.4815225723382,1820237
2020-04-07,4441.44873046875,4441.44873046875,4095.0970467063808,4237.7124732890625,2720716
2020-04-08,4634.998046875,4685.931758796883,4421.07468764097,4461.822215861252,2974045
2020-04-09,4563.689453125,4685.931089179616,4543.31569192626,4645.184032351048,2190098
2020-04-10,4451.634765625,4522.942701853494,4380.32729496545,4502.5689392783615,1975660
2020-04-13,4482.1953125,4584.063662893021,4370.140778864219,4400.7011908683335,2208022
2020-04-14,4747.05224609375,4767.42600874695,4502.568956531126,4502.568956531126,2009075
2020-04-15,4767.42578125,4869.293658517075,4747.052019569015,4828.546600724029,1459971
2020-04-16,4665.55810546875,4757.239338639121,4624.810580347067,4757.239338639121,1622929
