Price,Close,High,Low,Open,Volume
Ticker,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN
Date,,,,,
2020-01-02,23034.03125,23191.261068233325,22798.188375638958,22916.110739313954,2164345
2020-01-03,22640.95703125,23230.566956892275,22562.343980421345,23151.952053074794,4942819
2020-01-06,22405.115234375,22640.95810401321,22326.500326832625,22444.422688146187,2634859
2020-01-07,22837.4921875,22837.4921875,22405.112109314145,22523.03445417992,2020780
2020-01-08,22326.498046875,22680.263241700653,22326.498046875,22601.650195175072,4437500
2020-01-09,22640.95703125,22680.264483158742,22444.421624695126,22523.036528512606,2334095
2020-01-10,22601.6484375,22719.568924612347,22444.418650698764,22601.6484375,2458638
2020-01-13,22444.41796875,22640.953343291458,22405.110523244002,22562.340305267986,1993075
2020-01-14,22405.115234375,22562.34504945975,22405.115234375,22444.422688146187,1943884
2020-01-15,22405.115234375,22444.422688146187,22326.500326832625,22405.115234375,2493321
2020-01-16,22798.185546875,22876.800446237245,22405.112903052486,22405.112903052486,4689602
2020-01-17,22640.95703125,22837.4942907937,22405.114172786387,22798.18683888496,3352067
2020-01-20,22562.345703125,22798.188579595935,22483.730793305032,22601.653158034984,4346701
2020-01-21,21815.50390625,22798.18454617844,21815.50390625,22719.56965026689,10744793
2020-01-22,22208.580078125,22208.580078125,21501.049607950466,21618.97197064253,7640698
2020-01-30,21501.048828125,21933.42895599157,21186.591058673548,21736.89169196637,7174409
2020-01-31,20439.75,21579.660396072995,20439.75,21225.895228532314,10550086
2020-02-03,20243.216796875,20636.28945342303,19260.53608199932,19496.380787721402,8696226
2020-02-04,20361.142578125,20596.9854705693,20046.684770536238,20596.9854705693,3985959
2020-02-05,20439.75,20754.20772081521,20439.75,20557.67234017642,3979151
2020-02-06,21068.669921875,21068.669921875,20361.141289326522,20636.29162192687,4184622
2020-02-07,20950.74609375,21029.360991476045,20754.208849434883,20832.823747160928,2941387
2020-02-10,20675.59765625,20832.82561279358,20479.06039433447,20596.98275148379,1781470
2020-02-11,21068.669921875,21107.97737695919,20714.906532095247,20793.519589274652,2619702
2020-02-12,21265.203125,21501.04595735215,21107.97333477282,21147.280782329617,2666743
2020-02-13,21343.8203125,21422.433363068234,21107.975601828843,21265.205408942948,2487408
2020-02-14,21422.43359375,21422.43359375,21225.89818572985,21265.205637931645,2247662
2020-02-17,21304.51171875,21461.7396644475,21225.89681940689,21461.7396644475,2404911
2020-02-18,22012.041015625,22012.041015625,21343.81990705012,21383.125505093176,4374899
2020-02-19,21894.12109375,22090.656501110974,21815.506189610078,21972.735997889922,1827548
2020-02-20,21933.42578125,22169.268610954434,21815.503439903485,22051.34626960792,1884581
2020-02-21,21501.048828125,21972.73640879661,21501.048828125,21972.73640879661,3519162
2020-02-24,20636.2890625,21186.589659449368,20636.2890625,20872.131910765624,5507872
2020-02-25,21225.8984375,21225.8984375,20439.753090116887,20479.06054278493,3397708
2020-02-26,21618.970703125,21697.583753988372,20832.82537058069,20990.05517828508,7823218
2020-02-27,22012.041015625,22208.578270784183,21461.74040715685,21618.970211284195,7594451
2020-02-28,21658.275390625,21894.118219090178,21461.738156080195,21618.96794371604,5945246
2020-03-02,21894.12109375,22090.656501110974,21540.355878109185,21658.278234319067,4465353
2020-03-03,21972.734375,22405.11260985677,21894.119476666518,22090.65486951153,3592442
2020-03-04,21815.50390625,21815.50390625,21579.661071503993,21815.50390625,4375567
2020-03-05,21461.740234375,21972.73524068623,21461.740234375,21815.505437824693,3129142
2020-03-06,21225.8984375,21343.820795504125,21029.36302714865,21304.513342836082,3573446
2020-03-09,19771.529296875,20439.75034347115,19771.529296875,20125.29447036038,14236373
2020-03-10,20321.83203125,20439.752533051458,19771.53141487304,20046.68172306152,4975306
2020-03-11,19968.06640625,20636.28936357567,19457.073252054495,20439.75210966296,6988101
2020-03-12,18906.771484375,19378.459057998072,18592.313719622565,19103.308745463295,10572677
2020-03-13,18926.423828125,19653.606972969807,17766.86061462125,17806.16806204376,7965695
2020-03-16,18710.236328125,19535.687276840326,18670.928875378242,18926.426391737736,5042694
2020-03-17,19064.001953125,19064.001953125,18277.856587537935,18474.393855429153,6741260
2020-03-18,19024.693359375,19299.843664943728,19005.040560258145,19260.536213721225,4850278
2020-03-19,18749.54296875,18906.770919937964,18710.235517705813,18710.235517705813,5349731
2020-03-20,18749.54296875,18965.733022998633,18611.96781658974,18946.078370982148,3797020
2020-03-23,17452.40234375,18435.082939689124,17452.40234375,18120.625223108145,10177953
2020-03-24,17491.712890625,17688.24830345637,17098.64021197338,17688.24830345637,8568812
2020-03-25,18081.3203125,18238.55011933349,17747.20975246206,18081.3203125,5386707
