Price,Close,High,Low,Open,Volume
Ticker,GMD.VN,GMD.VN,GMD.VN,GMD.VN,GMD.VN
Date,,,,,
2023-07-17,52002.6796875,52733.82456887083,51637.10724681459,52276.85901801406,1599800
2023-07-19,52276.86328125,53373.580692744756,51819.89769312718,52825.22198699738,1265200
2023-07-20,52276.86328125,52551.04263412369,51911.29081075175,52551.04263412369,758100
2023-07-21,52551.0390625,52916.61150815218,52185.46661684783,52551.0390625,954900
2023-07-24,53739.15234375,54653.08350605867,52551.04183274872,53008.00741390306,1995800
2023-07-26,52002.6796875,53556.36256041301,51911.28657732865,53556.36256041301,1323100
2023-07-28,52733.82421875,52916.61043787912,52094.07245179809,52916.61043787912,958000
2023-08-03,51728.50390625,52094.07637201855,51362.93144048145,51728.50390625,959100
2023-08-04,53008.0078125,53008.0078125,51545.71794181034,51637.11105872845,4239100
2023-08-07,52916.6171875,54196.12088460708,52916.6171875,53921.94152094128,1533800
2023-08-08,53464.97265625,53830.54511885683,52551.041499732906,52916.61396233974,5492300
2023-08-09,52642.43359375,53464.971618652344,52459.64736599392,53464.971618652344,965600
2023-08-10,51454.32421875,52551.04160884769,51454.32421875,52551.04160884769,1399500
2023-08-11,50448.99609375,51728.499617866844,50266.20987601902,51088.74785580842,955900
2023-08-14,50905.96484375,51362.93041685368,50448.999270646316,50448.999270646316,695500
2023-08-15,51180.14453125,51545.7169921875,50631.78583984375,51180.14453125,630100
2023-08-16,50997.359375,51362.93184363799,50905.9662578405,51180.14560931899,580200
2023-08-17,50448.99609375,51088.74785580842,50174.81676715353,50723.175420346466,708900
2023-08-18,47707.20703125,50449.0005387931,47707.20703125,50266.21430495689,1710800
2023-08-21,49535.06640625,50174.81818640452,46793.27306273063,46793.27306273063,1225000
2023-08-22,49352.28125,50083.42615740741,48529.74322916667,49992.033043981486,1037900
2023-08-23,49352.28125,49809.246817129635,49078.10190972222,49809.246817129635,376300
2023-08-24,50723.1796875,50723.1796875,49260.88982263514,49717.855405405404,1072500
2023-08-25,50540.39453125,50814.57388675407,49443.67710923373,50723.180768252714,506100
2023-08-28,50723.1796875,50723.1796875,49900.641638513516,50631.786570945944,499800
2023-08-29,51637.109375,51637.109375,50997.35757743363,51180.14380530973,864900
2023-08-30,53647.76171875,53647.76171875,51637.11306830282,52002.6855502023,2026200
2023-08-31,57303.484375,57394.877492025524,53921.93904505582,54196.11839613238,5998900
2023-09-05,58126.01953125,58948.55754348467,56572.33661925118,57303.48151901533,3107400
2023-09-06,58491.59765625,58857.170141601564,57577.666442871094,58491.59765625,1221600
2023-09-07,58400.203125,59405.52743544601,58217.41688673709,58491.596244131455,1728600
2023-09-08,59222.7421875,61233.39084201389,57577.666015625,58400.2041015625,2434000
2023-09-11,57760.44921875,60502.24269432358,57577.66298704509,60502.24269432358,2263700
2023-09-12,59039.953125,59039.953125,57577.663264318886,58308.80819465945,1510100
2023-09-13,59953.88671875,61141.997278725226,57577.66559879954,60319.45919874238,2547100
2023-09-14,58674.3828125,61507.5695215148,58308.81033391745,60776.42456434969,1916300
2023-09-15,58491.59765625,59314.13574829102,57760.45268554687,58674.38389892578,1471800
2023-09-18,57760.44921875,59405.525304094146,57760.44921875,58582.98726142207,1379600
2023-09-19,58765.7734375,60228.06328975505,58308.8078586703,59771.09771092535,2790100
2023-09-20,60410.8515625,61233.38963218608,59405.5272551059,59771.09973052194,2215300
2023-09-21,61259.05078125,61353.295474759616,60033.869765625,60599.337926682696,1508800
2023-09-22,60316.60546875,60693.584252929686,59091.42442016601,59845.38198852539,2135700
2023-09-25,56641.05859375,60599.33556702371,56641.05859375,59374.154599105656,2240300
2023-09-26,57206.52734375,58525.95301559926,56264.08043528625,56264.08043528625,1404600
2023-09-27,60316.60546875,60316.60546875,56923.79641113281,57583.50928344727,1675300
2023-09-28,62013.0078125,64086.391052431616,59845.37987984423,60505.092728913376,3347100
2023-09-29,62484.23046875,63332.432692307695,60882.07071314103,62484.23046875,1446800
2023-10-02,61541.78125,64086.38782542114,61353.29187404288,62484.22812978561,1415200
2023-10-03,58902.93359375,61164.80624375,58431.710125,61164.80624375,2320100
2023-10-04,60410.84765625,62295.741498878706,57583.50689230694,57583.50689230694,1956500
2023-10-05,60599.3359375,62107.2509841563,60033.86779500389,61541.782841660184,1234900
2023-10-06,61259.05078125,62107.253022836536,59656.89099158654,60033.869765625,882600
2023-10-09,62295.7421875,62389.98688067323,61259.05056259456,61259.05056259456,1654000
2023-10-10,62389.984375,63992.144094599695,62389.984375,63049.69720071752,1695800
2023-10-11,62484.23046875,62861.20923477564,60410.84725560898,62861.20923477564,861100
2023-10-12,61730.2734375,63049.6991292939,61541.78405295802,62578.47566793893,1403400
2023-10-13,62295.7421875,62672.72096019289,60976.31648307489,61070.56117624811,1126300
2023-10-16,61636.02734375,62861.208315414755,61636.02734375,62389.984864774466,1065000
2023-10-17,60410.84765625,63897.901265113105,60410.84765625,62295.741498878706,1482600
2023-10-18,61070.5625,62107.25414737654,59374.15798611111,61353.296585648146,2750200
2023-10-19,61164.8046875,62766.96444048536,60316.60246533128,61447.53876155624,1060700
2023-10-20,60316.60546875,61259.05242919922,56923.79641113281,61259.05242919922,3199600
2023-10-23,58337.4609375,60222.35466730614,57583.503445577546,58902.92905644184,953500
2023-10-24,57866.2421875,58714.444434548044,57206.529328684854,58431.7103521987,2585300
2023-10-25,58148.97265625,59185.66422710697,57300.77046191248,57677.74921495138,2571800
2023-10-26,55604.3671875,57206.52692002119,54096.45214512712,57112.282229872886,2659300
2023-10-27,58902.93359375,58902.93359375,55038.90115,55604.3693125,1075100
2023-10-30,57018.0390625,58808.688223140496,57018.0390625,58808.688223140496,261800
2023-10-31,55604.3671875,58148.97382150424,55604.3671875,58054.72913135593,1040900
2023-11-01,58243.21875,58243.21875,55698.61210558252,56075.59086771844,728800
2023-11-02,59845.37890625,60316.60236220473,58337.463847194886,58997.1766855315,1146400
2023-11-03,61259.05078125,61259.05078125,59845.38037860577,59939.625072115385,2181800
2023-11-06,62201.49609375,62484.23016690341,60222.35758167614,61259.04918323864,2101900
2023-11-07,62295.7421875,63897.901971444786,61353.29525576778,62013.008107980335,2411000
2023-11-08,63897.90234375,64086.391731194686,62295.74255047013,62295.74255047013,1719000
2023-11-09,64746.10546875,66254.02058883733,64746.10546875,65028.839553766375,1982100
2023-11-10,64934.58984375,65877.03672101778,64274.87702966256,64651.85578056967,1384900
2023-11-13,64651.859375,66065.52976949708,63709.41244533527,65028.838146865884,1244000
2023-11-14,66913.7265625,68044.66278609155,65217.32222711267,65500.05628301056,1697200
2023-11-15,67007.9765625,69081.35980353376,66725.24248417722,68327.40226133967,995300
2023-11-16,67007.9765625,68327.40226133967,66819.48717695147,67007.9765625,706800
2023-11-17,65971.28125,67761.9303125,65971.28125,66254.0153125,1054100
2023-11-20,65594.3046875,66442.50690328664,65028.83654364224,65028.83654364224,608200
2023-11-21,65971.28125,66442.5046875,65028.834375,65877.0365625,774200
2023-11-22,66348.265625,66819.48910245029,65500.063365589485,65971.28684303978,498800
2023-11-23,65688.546875,66442.5043714132,65500.057500896706,66442.5043714132,870700
2023-11-24,64934.58984375,65500.05797011067,62672.71733830733,65500.05797011067,1703100
2023-11-27,63143.94140625,65688.5480002332,63143.94140625,65028.835179570895,456000
2023-11-28,63615.1640625,64369.121562500004,62955.45125,63143.940625,1026900
2023-11-29,65971.28125,65971.28125,63615.1640625,64557.6109375,704200
2023-11-30,66159.7734375,66725.24158653847,65405.81590544872,65971.28405448719,412200
2023-12-01,66159.7734375,66442.50751201923,65123.08183092949,66254.0181290064,622700
2023-12-04,66536.75,67102.21813031162,65500.058427762044,66536.75,1156200
2023-12-05,66159.7734375,67573.44381009616,65500.06059695513,66913.73096955128,948300
2023-12-06,66442.5078125,67102.22065602837,65500.06089317376,66348.26312056738,731000
2023-12-07,66348.265625,66442.51032049005,64557.61641068892,66442.51032049005,949000
2023-12-08,66348.265625,66442.51032049005,64557.61641068892,65971.28684303978,1588900
2023-12-11,66442.5078125,66913.73127216312,66065.5290447695,66348.26312056738,643800
2023-12-12,66536.75,66725.23937677054,65688.54780453259,66442.50531161473,715800
2023-12-13,64934.58984375,66536.74953510522,64934.58984375,66536.74953510522,654400
2023-12-15,64086.38671875,64463.36546415441,63238.184541590075,64274.876091452206,952900
2023-12-18,64557.61328125,64557.61328125,63238.18760834854,64274.8792084854,979900
2023-12-19,64557.61328125,64840.3473540146,64086.389826642335,64840.3473540146,311100
2023-12-20,64557.61328125,65028.836735857665,63897.90044479927,64557.61328125,1222400
2023-12-21,64086.38671875,65028.83358226103,64086.38671875,64746.099523207726,797800
2023-12-22,64369.12890625,64746.107699258784,64086.39481149341,64086.39481149341,378000
2023-12-25,68798.625,68798.625,64557.61386986302,64746.10325342466,3334500
2023-12-26,67384.953125,69552.58098776224,67384.953125,68798.62347027972,1166200
2023-12-27,67667.6875,68327.40033077994,67290.70873955432,68327.40033077994,1056000
2023-12-28,67856.1796875,69081.36070963541,67479.20091145833,67667.69029947916,1437100
2023-12-29,66442.5078125,68233.15695921986,66442.5078125,68233.15695921986,1460400
2024-01-02,67573.4375,68044.6609135286,66630.99067294282,66725.23535564853,1948500
2024-01-03,67856.1796875,68138.91376953125,67102.22213541667,67856.1796875,1030200
2024-01-04,67573.4375,68515.88432705718,67007.96940376569,68233.15027894003,1233100
2024-01-05,67007.9765625,67479.20002637131,66819.48717695147,67290.71064082278,960500
2024-01-08,67573.4375,67856.17154811716,66819.48003835426,67102.21408647142,2264900
2024-01-09,67573.4375,68138.90559623431,67196.45876917713,68044.6609135286,889900
2024-01-10,67479.203125,69458.34176414106,67007.97963949022,67573.44782210195,1487600
2024-01-11,67384.953125,67856.17657342658,66725.24029720279,67856.17657342658,813500
2024-01-12,66254.0234375,67384.95982619132,65500.06584503911,67384.95982619132,1620500
2024-01-15,65217.32421875,66630.99454141076,65217.32421875,66254.01578870123,1175400
2024-01-16,64840.34375,65217.322492732565,63992.14157885175,65217.322492732565,1240100
2024-01-17,65688.546875,66536.74905846485,64934.5893785868,65311.568126793405,530800
2024-01-19,65311.5703125,65594.30438311688,64840.34686147186,65594.30438311688,914300
2024-01-22,64934.58984375,65311.56859465712,64746.10046829645,64746.10046829645,598200
2024-01-23,66065.5234375,66348.257489301,64934.58723029601,64934.58723029601,1139000
2024-01-24,66159.7734375,66254.0181290064,65594.30528846155,66065.5287459936,618100
2024-01-25,65971.28125,66442.5046875,65500.0578125,66442.5046875,313300
2024-01-26,66065.5234375,66442.50217323466,65782.789385699,66065.5234375,525600
2024-01-29,65971.28125,66159.770625,65594.3025,66159.770625,370700
2024-01-30,65500.0625,66159.77535971224,65500.0625,66159.77535971224,603400
2024-01-31,64180.63671875,65688.55182521108,63426.679165519454,65688.55182521108,2657200
2024-02-01,65028.83984375,65028.83984375,64180.63758491848,64180.63758491848,398100
2024-02-02,64840.34375,65217.322492732565,64086.386264534885,65217.322492732565,997700
2024-02-05,64840.34375,65782.7906068314,64557.60969295059,65028.83312136628,1085300
2024-02-06,65028.83984375,65123.084539175725,64369.12697576993,65028.83984375,1005200
2024-02-07,65500.0625,66254.02005395683,65123.083723021584,65217.32841726619,1059600
2024-02-15,65500.0625,66348.26474820144,65217.32841726619,65971.28597122303,744700
2024-02-16,65782.796875,65877.04156966333,65217.32870702005,65500.06279101003,966200
2024-02-19,66631.0,67196.46817538897,66065.53182461104,66065.53182461104,2108200
2024-02-20,67856.1796875,67856.1796875,66159.7751953125,66913.73274739583,1486900
2024-02-21,67573.4375,67761.92686541144,66819.48003835426,67761.92686541144,960100
2024-02-22,67196.4609375,67856.1737377279,66536.74813727208,67761.92905198106,507200
2024-02-23,65782.796875,67761.9354629298,65500.06279101003,67761.9354629298,1136200
2024-02-26,69835.3203125,70212.299099612,65500.06426071188,65971.2877446019,3285400
2024-02-27,69835.3203125,70872.01197705803,69552.58622216599,70872.01197705803,1800000
2024-02-28,70683.5234375,71908.70451041666,69741.07645833334,70023.81055208333,1997800
2024-02-29,71625.9609375,71625.9609375,69741.06722861843,71060.49282483553,1626900
2024-03-01,75866.9765625,76526.68940217391,70872.00791925465,72002.9442158385,2990100
2024-03-04,75772.734375,76903.67070895522,74924.53212453358,76903.67070895522,2166500
2024-03-05,75395.7578125,75772.7366015625,74547.55553710938,75772.7366015625,1572000
2024-03-06,74264.8203125,75207.26727078046,73039.63926673541,75207.26727078046,2200500
2024-03-07,75395.7578125,75678.49190429687,73510.8638671875,74264.8214453125,2542600
2024-03-08,73793.59375,76055.46635536398,73699.34905810983,75395.75351213283,2473400
2024-03-11,73133.875,74170.56652706185,71437.47068298969,73982.07715850516,2380000
2024-03-12,73887.8359375,75301.50626793686,72568.41029575892,73133.87842793367,1924900
2024-03-13,75961.21875,77563.37845068239,74264.81436104218,74736.03780241935,2675800
2024-03-14,75961.21875,77469.13376240694,75584.23999689826,76997.91032102978,1814700
2024-03-15,75395.7578125,75866.98129882812,74736.04493164063,75678.49190429687,1794500
2024-03-18,73416.6171875,75113.02169247433,70400.78695643453,75113.02169247433,3332400
2024-03-19,72568.4140625,73510.86099837662,71625.96712662338,72662.65875608767,2602500
2024-03-20,73510.859375,74076.32752403847,71908.69961939103,72568.4124599359,2051700
2024-03-21,73887.8359375,75018.77220184948,73133.87842793367,75018.77220184948,1062300
2024-03-22,74076.328125,74641.79627862596,73228.12589456108,74453.30689408397,1275000
2024-03-25,73605.1015625,75018.77188700384,73133.87812099872,74359.05906890205,1314200
2024-03-26,74359.0625,74453.30719264892,73228.12618821293,73510.8602661597,824300
2024-03-27,75395.7578125,76338.20478515625,73887.84265625,74736.04493164063,1942800
2024-03-28,75395.7578125,76243.96008789062,74547.55553710938,76243.96008789062,805800
2024-03-29,75113.015625,75584.23906053952,74736.03687656838,75584.23906053952,719600
2024-04-01,74924.53125,76338.2016509434,74453.30778301887,74924.53125,1328700
2024-04-02,75584.2421875,75584.2421875,74547.55058642456,75584.2421875,911200
2024-04-03,75866.9765625,78505.82792119565,75018.77434006211,75584.24248835404,2768100
2024-04-04,75207.265625,76338.20195018797,74736.04215617168,76338.20195018797,741700
2024-04-05,73510.859375,75018.77443910256,73510.859375,74736.04036458334,1337500
2024-04-08,73039.640625,74170.57699596774,72568.41713709678,73605.10881048387,949200
2024-04-09,74076.328125,74076.328125,72945.3918177481,73793.59404818702,649700
2024-04-10,74453.3046875,75301.50689280064,73793.59186115506,74170.57061906645,901800
2024-04-11,74736.0390625,74736.0390625,73039.6346449401,73039.6346449401,693800
2024-04-12,76997.9140625,77657.6269124847,74924.53081969095,75489.99897682069,2739900
2024-04-15,73793.59375,77563.38142560664,72568.41275542784,76432.44512292465,1962100
2024-04-16,73887.8359375,74453.30406967475,72191.43154097577,73793.59124880421,2200200
2024-04-17,75866.9765625,76620.9340935559,74359.0615003882,74453.30619177019,3455800
2024-04-19,75395.7578125,76149.715390625,73887.84265625,75395.7578125,1664600
2024-04-22,75207.265625,76338.20195018797,74924.53154370301,76338.20195018797,864700
2024-04-23,74453.3046875,75866.97502966772,73228.12372428797,75866.97502966772,1652600
2024-04-24,76620.9375,76620.9375,73982.08602398523,74736.04358856089,2056300
2024-04-25,76715.1796875,76809.42437999079,75489.99868511978,76809.42437999079,1284400
2024-04-26,79354.03125,81521.65918200713,76149.7116983373,76715.17985451306,5624400
2024-05-02,79354.03125,79919.49940617578,78505.82901573634,79919.49940617578,1746700
2024-05-03,80579.2109375,80579.2109375,77751.87020285089,80107.98748172514,4151100
2024-05-06,79354.03125,80390.72286965558,78882.80778652019,80390.72286965558,2665400
2024-05-07,79825.2578125,82464.1093104339,78505.83206353306,79448.27902708088,5594700
2024-05-08,80013.7421875,80956.1890919464,78694.31652127503,79165.53997349823,1888600
2024-05-09,79448.2734375,81333.16723198399,79448.2734375,80013.7415758452,2132100
2024-05-10,78788.5625,80579.21164772728,78600.07311602871,80579.21164772728,1527900
2024-05-13,77374.890625,79354.02911845311,76809.4224840134,79354.02911845311,2522700
2024-05-14,77563.3828125,78600.07444182868,76997.914651048,77657.62750607534,1190200
2024-05-15,78223.09375,78882.80658885543,77469.13621987953,78128.84905873494,1560500
2024-05-16,79542.515625,80390.7178058353,78600.06875740521,78882.80281768365,2152900
2024-05-17,79919.5,80484.96816037736,79259.78714622642,79825.25530660378,1474600
2024-05-20,79071.296875,80579.21195247318,79071.296875,80390.72256778904,1641600
2024-05-21,80390.71875,80390.71875,78317.33561694021,78977.0484320047,1673100
2024-05-22,79165.5390625,81333.16691778274,78694.31561569941,81050.43284970238,1682000
2024-05-23,80579.2109375,80579.2109375,78694.31711440059,78977.0511878655,1530900
2024-05-24,78694.3125,80202.22747005988,76809.41878742515,80107.98278443114,2225500
2024-05-27,78128.8515625,78694.3197282117,77751.87278535886,78694.3197282117,924900
2024-05-28,78411.5859375,79165.54349459134,77940.3624643179,78223.09654822716,1617200
2024-05-29,77846.1171875,79636.76637220036,77280.64902391042,78411.5853510896,1486400
2024-05-30,78128.8515625,79636.76667106453,77280.64931393244,77374.89400821773,2861500
2024-05-31,78977.0546875,79448.27816415574,78505.83121084428,78505.83121084428,1135000
2024-06-03,78505.828125,79636.7644245198,78223.09405012004,79636.7644245198,1669500
2024-06-04,79636.765625,80579.21255547338,78411.58461538462,78977.05277366863,2560800
2024-06-05,79165.5390625,80296.47533482143,79165.5390625,80107.9859561012,1702700
2024-06-06,79165.5390625,80013.74126674107,77374.88996465773,80013.74126674107,1851700
2024-06-07,78600.078125,80107.9932928657,78128.85463504196,79165.54631294965,2036800
2024-06-10,81898.6328125,82746.83499352704,79165.53689585731,79165.53689585731,3773300
2024-06-11,81050.4296875,82275.61060138082,80202.22751635175,81992.8765443314,1904600
2024-06-12,80767.703125,80956.19251385648,79448.27740300467,80579.21373614353,1712400
2024-06-13,80107.9921875,80861.9497610294,79825.25809742647,80861.9497610294,1022100
2024-06-14,78223.09375,80861.94510542169,78223.09375,79919.49819277109,2064400
2024-06-17,78977.0546875,80013.7463361426,78223.09712485084,78317.34182018199,1105100
2024-06-18,78788.5625,79259.78595992822,78788.5625,79165.54126794258,857000
2024-06-19,78694.3125,80107.98278443114,78600.06781437126,78788.55718562874,1355100
2024-06-20,78411.5859375,79071.29879995492,78317.34124286358,78694.32002140925,999900
2024-06-21,78600.078125,79636.76980290767,78505.8334270084,78694.32282299161,976900
2024-06-24,77280.6484375,78882.80822217988,77186.40374428354,78317.34006288109,1928800
2024-06-25,78223.09375,79354.03004518073,77092.15745481927,77280.6468373494,1334700
2024-06-26,79165.5390625,79636.76250930059,77280.64527529762,78223.09216889882,2136100
2024-06-27,78600.078125,78694.32282299161,77751.87584307554,78694.32282299161,986700
2024-06-28,78223.09375,79354.03004518073,77751.8702936747,78788.56189759036,1658000
2024-07-01,77280.6484375,78223.09536966463,77092.15905106708,78223.09536966463,1391200
2024-07-02,76809.421875,78317.33690567485,76809.421875,77374.89001150307,1464200
2024-07-03,77469.1328125,77657.62218673967,76715.17531554136,76903.66468978103,1534800
2024-07-04,77280.6484375,78034.60598323171,77280.6484375,77940.36129001525,726100
2024-07-05,78788.5625,78788.5625,77280.64742822967,78034.60496411483,1861800
2024-07-08,79165.5390625,79448.27313058036,77469.13465401786,79165.5390625,1813700
2024-07-09,80107.9921875,80484.9709742647,78317.34295036765,79259.78991727941,2350200
2024-07-10,79259.7890625,80296.48071492271,79165.54436682521,80202.23601924791,1231800
2024-07-11,78882.8046875,79825.25157743429,78882.8046875,79354.02813246715,781800
2024-07-12,79165.5390625,79448.27313058036,78411.58154761905,78977.04968377977,1043300
2024-07-15,78681.640625,79842.9932541513,78584.86123923739,79842.9932541513,850000
2024-07-16,78681.640625,79068.75816805044,78391.30246771217,78778.42001076261,866600
2024-07-17,78391.3046875,78875.20163001544,73358.7764853395,78875.20163001544,2020200
2024-07-18,77326.734375,78391.30768929912,76068.60227628285,77423.513767209,1350700
2024-07-19,76262.15625,77617.06765545685,75100.80361675128,76746.0531805203,1300000
2024-07-22,75487.921875,75681.48064903847,73745.89290865384,75681.48064903847,1765300
2024-07-23,74133.0078125,75487.91918244126,73939.44904536555,75487.91918244126,954700
2024-07-24,75391.140625,75681.47877888319,72294.20031691271,72294.20031691271,1358400
2024-07-25,75197.5859375,75197.5859375,74423.35081845238,74520.13020833333,414800
2024-07-26,76455.71875,76455.71875,74907.24849683544,75197.5866693038,643300
2024-07-29,76455.71875,76939.61570411392,76165.38057753164,76552.49814082278,301800
2024-07-30,76455.71875,76649.27753164557,75971.82179588608,75971.82179588608,472400
2024-07-31,77423.5078125,77423.5078125,75971.81704101563,76455.71396484374,826900
2024-08-01,76358.9375,77229.95199619772,75778.26116920152,77229.95199619772,1052000
2024-08-02,78391.3046875,78391.3046875,73842.67342785494,73842.67342785494,1618500
2024-08-05,73165.21875,77133.17373511905,73165.21875,76262.15922619047,1116000
2024-08-06,74520.125,74520.125,72681.31672077923,72778.09610389611,1426400
2024-08-07,73842.671875,74520.12758027522,73165.21616972476,74423.34819380734,485000
2024-08-08,74036.234375,74133.01376633986,72971.66107026144,73358.77863562091,446100
2024-08-09,74616.90625,75294.36194876784,73745.89178015564,74326.56809338521,723900
2024-08-12,76455.71875,77229.95387658228,75004.02788765823,75391.14545094936,563300
2024-08-13,76068.6015625,76842.83669290712,75778.26338859732,76746.05730160623,250700
2024-08-14,76262.15625,76455.71502220813,75197.58300285533,76455.71502220813,707700
2024-08-15,76649.2734375,77229.94975142046,75487.92080965909,76358.93528053976,729900
2024-08-16,77229.953125,77907.40885416667,76455.71800595238,77036.39434523809,676400
2024-08-19,80133.3359375,81391.46802347524,77326.73359186293,77423.51298309179,2645600
2024-08-20,80133.3359375,80617.23289364432,79165.54202521135,80133.3359375,835700
2024-08-21,80714.0078125,80907.56658423261,79649.43456797063,80617.2284266337,1110400
2024-08-22,80230.109375,80810.78567928227,79649.43307071773,80714.00629523523,758300
2024-08-23,79649.4375,80133.33444714459,78875.20238456865,79939.77566828676,888200
2024-08-26,78488.0859375,80230.11497187114,78391.3065467016,80230.11497187114,1025300
2024-08-28,77617.0703125,78681.6435960879,77520.29092308292,78004.18787016833,689700
2024-08-29,77617.0703125,77810.62909133417,77423.51153366583,77617.0703125,748000
