Price,Close,High,Low,Open,Volume
Ticker,HCM.VN,HCM.VN,HCM.VN,HCM.VN,HCM.VN
Date,,,,,
2020-01-02,17324.59765625,17485.75583715075,17203.72766315571,17284.3076585519,753112
2020-01-03,17082.859375,17526.04572717296,17082.859375,17405.17754471289,725443
2020-01-06,16800.830078125,17042.568236755313,16720.250088617726,17002.278242001677,1224819
2020-01-07,16921.69921875,17002.279212858517,16720.251043370317,16841.119224641483,540810
2020-01-08,16559.08984375,16800.829808390725,16277.061694893962,16800.829808390725,1295935
2020-01-09,16720.25,16800.829989080197,16518.801837191004,16720.25,654591
2020-01-10,16921.69921875,17082.859206967034,16599.381052207544,16720.251043370317,1493194
2020-01-13,17284.306640625,17324.596635950293,16921.698492588894,16961.988487914186,1620603
2020-01-14,17284.306640625,17364.886631275585,17163.436654649122,17203.726649974415,620160
2020-01-15,17042.568359375,17324.596514788114,17042.568359375,17284.306519744598,651532
2020-01-16,17606.625,17606.625,17042.568678608142,17203.726851909436,1855720
2020-01-17,17405.17578125,17808.072095151623,17405.17578125,17606.623938200813,797927
2020-01-20,17405.17578125,17445.46577461845,17284.30580114465,17284.30580114465,425304
2020-01-21,17687.205078125,17888.653248210023,17324.59692405871,17364.88692005403,1034459
2020-01-22,17888.65234375,17888.65234375,17606.62419593384,17727.494177808538,930706
2020-01-30,16639.669921875,17485.75437301488,16639.669921875,17485.75437301488,3694455
2020-01-31,15511.5576171875,16760.540225581597,15511.5576171875,16357.642084518222,2376187
2020-02-03,15028.0810546875,15471.268305476724,14464.023813272832,14504.31381014798,1839597
2020-02-04,14544.603515625,15310.108011241282,14504.313519557054,15310.108011241282,1204924
2020-02-05,14746.0517578125,15068.368993306607,14584.89268759258,14907.209923086688,1771310
2020-02-06,15229.529296875,15430.977460284537,14866.921154824631,14947.500239199297,2102039
2020-02-07,15148.94921875,15592.137347522774,15028.080140423674,15229.529207598049,1821289
2020-02-10,14786.3408203125,15068.36896645842,14665.471744099354,14826.630814032125,1169216
2020-02-11,14866.921875,14947.500963278035,14746.052790110052,14907.21096666612,1431566
2020-02-12,15269.8193359375,15471.26749993282,14947.500282664334,14987.7902774417,1680161
2020-02-13,15108.66015625,15269.820143886676,14987.791070468293,15229.530146977508,975119
2020-02-14,15471.267578125,15471.267578125,15028.080348171365,15108.659433187591,1919557
2020-02-17,15310.107421875,15995.033708880552,15310.107421875,15471.267399942892,1676159
2020-02-18,15269.8193359375,15632.425669150773,15189.23934638277,15511.557494710183,1403322
2020-02-19,15189.2392578125,15350.397426090722,15148.949263270071,15229.529252354929,999430
2020-02-20,15229.529296875,15551.84744426516,15148.949307554585,15471.267454944746,1749828
2020-02-21,15189.2392578125,15511.557404260437,15148.949263270071,15229.529252354929,1021637
2020-02-24,14141.705078125,14826.631377610605,14141.705078125,14746.052292054173,3012425
2020-02-25,14181.9951171875,14262.575107938625,13497.069720531768,13497.069720531768,1481211
2020-02-26,13779.0966796875,14141.703891688694,13617.937617149519,13617.937617149519,1025696
2020-02-27,14343.1533203125,14343.1533203125,13779.097039186101,13779.097039186101,1019923
2020-02-28,13819.3876953125,14101.415849410474,13698.517710745578,13859.676785222386,1139569
2020-03-02,13859.67578125,14181.993906855414,13859.67578125,14020.834844052706,1377769
2020-03-03,13940.255859375,14181.994002740621,13940.255859375,14181.994002740621,1191308
2020-03-04,14302.8642578125,14383.444248898522,13779.097935536429,13779.097935536429,1615313
2020-03-05,14625.181640625,14987.789771488975,14343.153496595562,14343.153496595562,1895326
2020-03-06,14625.181640625,14786.340709348353,14262.574414706745,14504.312565318914,879290
2020-03-09,13617.9384765625,13779.097549271053,13617.9384765625,13617.9384765625,1436051
2020-03-10,13134.4619140625,13577.649159896913,12691.274668228087,13053.881921213086,1812883
2020-03-11,12248.0869140625,13376.199527568042,12248.0869140625,13335.910437761237,1820910
2020-03-12,11402.0009765625,11522.870049806315,11402.0009765625,11482.58096202218,2291731
2020-03-13,11281.1328125,11402.001895485027,10636.496496652153,10636.496496652153,2209414
2020-03-16,10596.2060546875,11361.71142130073,10515.626971070933,10958.814193326409,1220138
2020-03-17,11321.421875,11321.421875,10112.729334917618,10153.018422626848,1818184
2020-03-18,11119.9736328125,11684.029951597213,11079.683637200515,11522.870874095042,1375354
2020-03-19,11240.841796875,11684.028997582784,10717.075516468392,10717.075516468392,1824797
2020-03-20,11240.841796875,11563.159925561697,11200.551804552739,11522.869933239435,2060202
2020-03-23,10475.3369140625,10878.235044569972,10475.3369140625,10717.07597335613,1344729
2020-03-24,10112.7294921875,10797.65485324459,10072.43949890599,10636.495785064266,2153398
2020-03-25,10757.3642578125,10797.654248838751,10193.308003227645,10555.916112572577,2044999
2020-03-26,10233.599609375,10757.365955597192,10233.599609375,10475.337783793579,1889335
2020-03-27,9951.5703125,10314.177533133434,9911.280319669937,10314.177533133434,1699458
2020-03-30,9266.64453125,9588.96268059311,9266.64453125,9347.2236161129,1988384
2020-03-31,8984.615234375,9669.540535928307,8702.587115797425,9548.671471530151,1525026
2020-04-01,9588.962890625,9588.962890625,9024.906569392626,9105.48565602049,1909609
2020-04-03,10233.599609375,10233.599609375,9991.86053001061,10233.599609375,2059926
2020-04-06,10918.5244140625,10918.5244140625,10676.786253506532,10797.655333784516,2140242
2020-04-07,11603.4501953125,11643.740188598062,11039.39390909753,11603.4501953125,6579702
2020-04-08,12207.796875,12207.796875,11119.973355249673,11281.132428729194,3000430
2020-04-09,12409.24609375,12771.853334772126,12086.927942877603,12086.927942877603,2639813
2020-04-10,12449.53515625,12489.82515125601,11885.478845948925,12167.507001099462,3101688
2020-04-13,12489.826171875,12570.406168471693,12167.507995379892,12328.667083627446,2372887
2020-04-14,12812.1435546875,12812.1435546875,12127.217245828537,12489.825398159255,2061892
2020-04-15,13215.0400390625,13376.19910807281,12892.722805987603,12892.722805987603,1996549
2020-04-16,13255.3310546875,13577.649217562497,12892.723800162476,13013.59288500415,1755348
2020-04-17,13537.3583984375,13859.676541728462,13376.199326792017,13537.3583984375,3139649
2020-04-20,13255.3310546875,13779.098295595819,12973.302888408327,13779.098295595819,3068959
2020-04-21,12650.984375,13295.620682888417,12368.95621653526,13134.461605916313,2756113
2020-04-22,13497.0693359375,13497.0693359375,12127.216771767975,12248.086754450514,2640998
2020-04-23,13617.9384765625,14020.835705861007,13497.069398267524,13940.256621979604,2173833
2020-04-24,13819.3876953125,13859.676785222386,13335.910471882078,13537.358636268773,2156549
2020-04-27,13698.517578125,14020.83572395813,13617.938494139591,13980.54572949255,1268760
2020-04-28,13537.3583984375,13698.517470082981,13376.199326792017,13698.517470082981,1073674
2020-04-29,13295.6201171875,13577.64826365253,13174.751040837591,13537.358269887318,2079545
2020-05-04,12489.826171875,13053.882528268523,12489.826171875,13053.882528268523,2405593
2020-05-05,12812.1435546875,13215.040797874917,12489.825398159255,12731.564468028326,1272049
2020-05-06,13215.0400390625,13215.0400390625,12892.722805987603,12973.301888019898,1741060
2020-05-07,13617.9384765625,13658.228470976075,13053.8812696097,13134.461258436846,2261797
2020-05-08,13899.966796875,14423.73401579399,13658.228637340546,13698.517727299119,4911144
2020-05-11,14665.4716796875,14705.761673230169,14020.835402787703,14222.28446555532,3663647
2020-05-12,14584.892578125,14786.340735678623,14262.574440104336,14584.892578125,2665113
2020-05-13,14504.3125,14826.630635995174,14141.704370768999,14343.153432002413,3543219
2020-05-14,14947.5009765625,15471.268218145491,14181.995564984769,14343.154646629859,4225755
2020-05-15,14826.630859375,15269.818981754779,14705.76178279221,14987.789929800629,2843572
2020-05-18,15068.369140625,15108.659134810316,14584.89283018419,14665.471913609079,2107708
2020-05-19,15068.369140625,15592.137255142605,15028.080051385426,15471.267272586663,3895257
2020-05-20,14907.2099609375,15148.94901935404,14786.340884202094,14987.789948724923,2754250
2020-05-21,14907.2099609375,15068.369031566615,14826.630878095808,15028.079942618637,2037110
2020-05-22,14907.2099609375,15430.977166718561,14786.340884202094,14826.630878095808,3358184
2020-05-25,15310.107421875,15310.107421875,14907.210191542512,14907.210191542512,2614226
2020-05-26,15995.033203125,16075.613189611042,15350.396931019523,15511.556903991608,4675819
2020-05-27,15148.94921875,16115.903655252105,15068.369229901953,16075.613660828081,4618354
2020-05-28,15229.529296875,15430.977460284537,15068.369318234169,15269.819291535207,2725396
2020-05-29,15148.94921875,15269.819202022072,15028.080140423674,15108.659224325977,1964947
2020-06-01,15713.0068359375,15713.0068359375,15229.530482169668,15310.10866786988,1834951
2020-06-02,15350.3974609375,15954.743760662866,15269.819281561216,15954.743760662866,2785173
2020-06-03,15511.5576171875,15592.137607378478,15269.819456506082,15511.5576171875,1262895
2020-06-04,15874.1669921875,16317.353352767845,15793.586995757743,15833.87699397262,5948398
2020-06-05,16115.9033203125,16277.061484767728,15753.295187923923,15874.165168683932,3633367
2020-06-08,16720.25,16841.1181737288,16357.641859030611,16599.380016379706,3628733
2020-06-09,16679.9609375,16881.409111565485,16518.80276022593,16841.11911477407,2859981
2020-06-10,16639.669921875,16841.118083605976,16236.771788521566,16518.80174879301,3208845
2020-06-11,15511.5576171875,16760.540225581597,15511.5576171875,16599.380245199638,5744940
2020-06-12,15511.5576171875,15511.5576171875,14584.893159665799,14665.472244911018,3761788
2020-06-15,14464.0234375,15632.426076957985,14464.0234375,15592.137891021115,5203255
2020-06-16,15108.66015625,15189.240150068337,14705.76290199571,14907.211076649954,2607142
2020-06-17,15108.66015625,15310.108330904244,14786.341990868246,15148.950153159169,1757545
2020-06-18,14947.5009765625,15108.66005820759,14746.052803215482,14866.921888212852,1399895
2020-06-19,15632.42578125,15672.715776316283,14947.500389852,14987.790384918284,2760828
2020-06-22,15632.42578125,15753.295766448846,15430.977615810109,15753.295766448846,2120818
2020-06-23,16438.220703125,16720.24883536984,15713.004471700346,15793.584455167833,5993351
2020-06-24,15874.1669921875,16518.803343842235,15713.006999327987,16438.22334741248,3000465
2020-06-25,15753.2939453125,15914.452097055659,15551.845803160724,15592.13579356934,1954057
2020-06-26,15430.9775390625,16035.323842267913,15269.819369490426,15874.165672695839,2849734
2020-06-29,14786.3408203125,15390.687106323963,14504.31267416658,15229.52894133692,2968081
2020-06-30,14786.3408203125,15189.238947617294,14504.31267416658,15108.658960178043,1751634
2020-07-01,15350.3974609375,15430.977450205282,14826.631150479916,14947.500229435838,1340394
2020-07-02,15350.3974609375,15511.557439473063,15229.529286927325,15511.557439473063,1204268
2020-07-03,15310.107421875,15511.557394459864,15310.107421875,15430.977405425918,1465790
2020-07-06,15713.0068359375,15793.586831529352,15430.978661257657,15551.848654645435,1390442
2020-07-07,15551.84765625,15954.743988560896,15551.84765625,15874.165808033631,2283210
2020-07-08,15833.875,15833.875,15471.266871621287,15551.846857903542,1956012
2020-07-09,15551.84765625,15672.71583198666,15471.267665831212,15551.84765625,2094817
