Price,Close,High,Low,Open,Volume
Ticker,HSG.VN,HSG.VN,HSG.VN,HSG.VN,HSG.VN
Date,,,,,
2023-07-17,16708.873046875,16992.876554753897,16566.871292935553,16945.54263677408,8725900
2023-07-19,16424.87109375,16566.872861131123,16282.869326368877,16377.537171289625,13943500
2023-07-20,16614.205078125,16661.538995726496,16330.201572516027,16330.201572516027,11024300
2023-07-21,17229.546875,17324.214714972528,16614.20591517857,16708.873755151097,19963400
2023-07-24,17324.212890625,17560.88246563354,17134.87723061817,17371.54680562671,12672500
2023-07-26,17702.884765625,17844.886515081886,17371.547350225603,17418.88126671123,14432600
2023-07-28,18270.892578125,18270.892578125,17608.217717778498,17750.219473567035,21291100
2023-08-03,17702.884765625,17797.552598596256,17324.213433739973,17797.552598596256,15588700
2023-08-04,17892.220703125,17892.220703125,17513.549365492727,17750.218951512896,9853900
2023-08-07,17986.888671875,18176.224342105263,17797.553001644737,18128.8904245477,11907100
2023-08-08,17702.884765625,18270.89176345254,17655.55084913937,18081.556097510027,13509400
2023-08-09,18081.556640625,18176.22447643979,17466.215707828862,17608.21746155105,18013300
2023-08-10,17797.552734375,18176.224069148935,17750.218817528257,17986.888401761968,7955100
2023-08-11,18791.564453125,18838.898368624057,17655.55048114767,17844.886143143893,25031300
2023-08-14,19028.236328125,19264.905934196206,18886.234564482274,18886.234564482274,11504400
2023-08-15,19501.57421875,19596.24205476335,18838.899366656555,19122.902874696603,15173300
2023-08-16,19312.23828125,19501.573950674017,19122.90261182598,19501.573950674017,7043300
2023-08-17,18933.56640625,19643.575146484374,18933.56640625,19406.90556640625,15636300
2023-08-18,17608.216796875,18838.898616011425,17608.216796875,18791.564699890794,28229000
2023-08-21,17466.216796875,17844.88816374492,16992.8775882876,17608.21855945122,11826600
2023-08-22,17418.8828125,17797.554177989132,16566.872240149456,17797.554177989132,10263900
2023-08-23,17324.212890625,17655.550295636953,17324.212890625,17655.550295636953,5144800
2023-08-24,17750.21875,17750.21875,17087.543916666666,17324.213499999998,8276800
2023-08-25,17608.216796875,17892.22029359879,17560.88288075437,17797.552461357525,10113900
2023-08-28,18176.224609375,18270.892445882164,17655.551508585613,17655.551508585613,13010300
2023-08-29,18081.556640625,18460.227983884164,17892.220968995418,18270.892312254582,7680900
2023-08-30,18649.564453125,18744.23229298858,18034.223494011738,18128.89133387532,10666700
2023-08-31,18933.56640625,19122.9020703125,18649.562910156248,18886.232490234375,11670800
2023-09-05,18886.232421875,19406.905496162282,18696.89675849781,19075.568085252195,9748600
2023-09-06,20164.248046875,20164.248046875,18554.89491637324,18886.232325594192,24075500
2023-09-07,20353.583984375,20637.587481831397,20211.5822356468,20400.917900617733,14738800
2023-09-08,20826.923828125,21110.927334872158,20306.250732421875,20353.584650213066,17241600
2023-09-11,20164.248046875,21110.92635893486,20164.248046875,21110.92635893486,15962600
2023-09-12,20684.921875,20684.921875,19785.577445652172,20069.58094965675,15981800
2023-09-13,20826.923828125,21631.600430575283,20448.252485795456,20826.923828125,16797800
2023-09-14,20164.248046875,20826.9228653169,19880.244553257042,20826.9228653169,13600100
2023-09-15,20258.91796875,20826.925014602803,19880.24660484813,20258.91796875,10739900
2023-09-18,20637.587890625,20921.591393706996,20258.91655318234,20258.91655318234,12498300
2023-09-19,21773.6015625,21773.6015625,20258.916236413046,20826.923233695652,18388300
2023-09-20,21915.603515625,22010.2713493858,21631.600014342603,21773.6017649838,8282100
2023-09-21,21915.603515625,22625.612268830995,21678.933931223,21773.6017649838,17847900
2023-09-22,20400.91796875,21394.930213167052,20400.91796875,21252.928463964618,34490400
2023-09-25,18980.900390625,20448.251792394014,18980.900390625,20069.580462905236,17096400
2023-09-26,17986.888671875,19122.90269325658,17986.888671875,18838.899187911185,20419200
2023-09-27,18933.56640625,18933.56640625,17702.88458984375,18081.555917968748,11843800
2023-09-28,19217.572265625,19359.574031134547,18365.561672567736,18649.565203586822,11166600
2023-09-29,18933.56640625,19454.239482421875,18791.564658203126,19406.90556640625,8445900
2023-10-02,19028.236328125,19406.90769783893,18838.900643268033,19075.570249339242,12523900
2023-10-03,17702.884765625,18649.563095337566,17702.884765625,18554.89526236631,24004200
2023-10-04,18081.556640625,18554.895819698955,17040.210446662306,17040.210446662306,12345200
2023-10-05,17371.546875,18270.891263623977,17371.546875,18176.223433242507,7118600
2023-10-06,17750.21875,17986.888333333332,16945.542166666666,17371.547416666665,7732900
2023-10-09,18318.2265625,18460.22831879845,17702.88561854005,17702.88561854005,7891900
2023-10-10,18270.892578125,18744.231764086788,18270.892578125,18554.896089702073,6954200
2023-10-11,18649.564453125,18649.564453125,18128.89133387532,18318.227013602474,6693700
2023-10-12,18649.564453125,19170.237572374685,18365.560933534263,18838.90013285216,6716000
2023-10-13,18602.228515625,18649.562430423026,18034.221538048663,18318.22502683683,5771300
2023-10-16,17797.552734375,18696.8971544631,17797.552734375,18602.229320769613,7201700
2023-10-17,17040.2109375,18270.89283854167,17040.2109375,17892.221484375,6701700
2023-10-18,16093.533203125,17276.881232766544,15856.86359719669,17229.54731158088,19578200
2023-10-19,16093.533203125,16377.536730238971,15241.522621783088,16093.533203125,10213500
2023-10-20,16850.875,16850.875,16046.198384831461,16093.532303370786,7621200
2023-10-23,16756.20703125,17134.878376588982,16424.86960407839,16850.874867584746,7795200
2023-10-24,16756.20703125,16945.54270391949,16330.201767743643,16803.540949417373,4599200
2023-10-25,16850.875,17324.21418539326,16803.541081460673,16898.208918539327,6116200
2023-10-26,15714.8603515625,16472.20301910768,15714.8603515625,16424.869102386107,13910200
2023-10-27,16708.873046875,16708.873046875,15383.523343440156,15809.5286052585,9350400
2023-10-30,16282.8671875,17087.543763626454,16282.8671875,16661.538517441862,6747500
2023-10-31,16093.533203125,16708.874178538605,15904.197518382352,16661.540257352943,8058200
2023-11-01,16756.20703125,16756.20703125,15951.53042240466,16046.198258739407,6097800
2023-11-02,17892.220703125,17892.220703125,16898.208441840277,17134.87802786045,14501000
2023-11-03,18412.89453125,18460.22845035347,17655.551825594473,17986.889259318767,14967600
2023-11-06,18933.56640625,18933.56640625,18318.225498046875,18507.561162109374,14441800
2023-11-07,18696.8984375,19028.235878164556,18554.89667721519,18744.232357594938,11765500
2023-11-08,19974.912109375,19974.912109375,18554.894660841233,18602.22857579236,17835000
2023-11-09,19690.91015625,20353.585017277645,19690.91015625,20164.249342698316,13844900
2023-11-10,19548.908203125,20306.250893802964,19406.90644862288,19454.240366790254,15633800
2023-11-13,20353.583984375,20732.255314316862,19548.907408248546,19548.907408248546,21391600
2023-11-14,20542.919921875,20732.25558935772,19927.579002556162,20637.587755616358,13577100
2023-11-15,20353.583984375,21205.594476744187,20306.250068132267,21205.594476744187,16287800
2023-11-16,20448.251953125,20448.251953125,19927.578870985242,20258.91628689236,8556900
2023-11-17,20306.25,20826.923076923078,19880.244755244756,20542.91958041958,19110200
2023-11-20,20542.919921875,20590.253838745677,19785.577251944123,19832.911168814804,10988700
2023-11-21,20732.255859375,21442.264621682363,20637.588024400684,20826.923694349316,15046000
2023-11-22,20826.923828125,20921.591663707386,20495.586403586647,20684.92207475142,12046900
2023-11-23,19406.90625,20921.59161585366,19406.90625,20826.923780487807,19109500
2023-11-24,19832.912109375,19832.912109375,18838.899807950478,19690.91035202864,17239000
2023-11-27,19548.908203125,20022.247384798728,19454.240366790254,19880.24563029661,7223500
2023-11-28,20164.248046875,20164.248046875,19075.56798800616,19596.241059639084,13082400
2023-11-29,20590.25390625,20637.587823275862,20022.246901939656,20164.248653017243,11684700
2023-11-30,20306.25,20826.923076923078,20258.916083916083,20590.253496503497,10587400
2023-12-01,20590.25390625,20637.587823275862,20069.580818965518,20448.252155172413,9231800
2023-12-04,21063.59375,21584.266853932582,20826.924157303372,21016.259831460673,20797300
2023-12-05,21110.927734375,21394.93124649664,20968.925978314182,21063.593815688062,12457900
2023-12-06,21489.59765625,21584.2654873348,20921.59066974119,21205.594162995592,10339700
2023-12-07,21252.9296875,21584.267121380846,20353.58522410913,21536.93320225501,22298100
2023-12-08,20921.591796875,21915.604076817024,20826.923960690045,21205.595305429862,17005700
2023-12-11,20542.919921875,21016.259090581796,20448.25208813364,20921.59125684044,8579900
2023-12-12,20590.25390625,20921.591325431036,20542.919989224138,20637.587823275862,6330500
2023-12-13,19974.912109375,20874.256493446388,19880.24427947275,20637.58691869076,12851000
2023-12-15,19738.244140625,20164.24940984712,19548.90846541517,19880.245897032375,9143900
2023-12-18,19643.576171875,20022.247519766566,19643.576171875,19738.24400884789,5976700
2023-12-19,20353.583984375,20353.583984375,19690.909156976744,19738.243073219477,8089600
2023-12-20,20353.583984375,20495.5857331032,20164.24831940407,20495.5857331032,4465800
2023-12-21,20590.25390625,20732.255657327587,20116.91473599138,20164.248653017243,9065500
2023-12-22,20448.251953125,20732.255452473957,20258.91628689236,20590.25370279948,5298000
2023-12-25,20779.58984375,21205.595102505693,20495.58633791287,20495.58633791287,10868200
2023-12-26,20921.591796875,21063.59355115243,20684.92220641261,20779.590042597567,7153800
2023-12-27,21252.9296875,21394.931444877504,20968.92617274499,20968.92617274499,15148900
2023-12-28,21489.59765625,21584.2654873348,21205.594162995592,21252.928078537996,11927000
2023-12-29,21584.265625,21584.265625,21347.596045778508,21489.597793311405,12868300
2024-01-02,20968.923828125,21773.60036329007,20968.923828125,21773.60036329007,12386000
2024-01-03,21442.265625,21442.265625,20874.25858857616,20921.592508278147,7147000
2024-01-04,21252.9296875,21631.60104050668,21252.9296875,21442.265364003342,12784900
2024-01-05,21158.259765625,21347.595423482944,20968.92410776706,21252.92759455397,9177500
2024-01-08,21158.259765625,21394.92933794743,21063.59193669603,21252.92759455397,10813900
2024-01-09,20732.255859375,21205.595034246577,20637.588024400684,21158.26111675942,16949800
2024-01-10,20542.919921875,20779.589506228396,20164.24858690956,20732.25558935772,19598500
2024-01-11,20921.591796875,20968.925714967478,20637.588288320134,20637.588288320134,10390200
2024-01-12,20542.919921875,20921.59125684044,20353.58425439228,20637.587755616358,12532100
2024-01-15,20448.251953125,20826.923285590277,20448.251953125,20684.921535915797,5883400
2024-01-16,21678.93359375,21678.93359375,20306.25002558679,20448.251774017466,19794000
2024-01-17,21394.9296875,21773.601009402653,21252.927941786504,21726.267094164825,12902400
2024-01-19,21300.263671875,21536.933268229168,21158.2619140625,21536.933268229168,8756800
2024-01-22,21820.9375,22057.607104121475,21347.59829175705,21394.932212581345,25152700
2024-01-23,21631.6015625,21962.939004376367,21584.267642231946,21868.27116384026,6165000
2024-01-24,21631.6015625,21820.93724357221,21584.267642231946,21631.6015625,10358500
2024-01-25,21868.26953125,22057.60519818723,21442.264280641233,21678.93386431277,12704900
2024-01-26,22294.275390625,22436.277144705415,21915.604046410564,21915.604046410564,16339500
2024-01-29,21631.6015625,22246.942525984683,21584.267642231946,22199.60860571663,24504300
2024-01-30,21915.603515625,21915.603515625,21394.930429940603,21631.600014342603,11393200
2024-01-31,21678.93359375,21915.603174467793,21394.930096888645,21726.267509893558,13997300
2024-02-01,21678.93359375,21726.267509893558,21442.264013032203,21489.597929175765,7428880
2024-02-02,21678.93359375,22057.60492289847,21584.26576146288,21678.93359375,10087300
