Price,Close,High,Low,Open,Volume
Ticker,KDH.VN,KDH.VN,KDH.VN,KDH.VN,KDH.VN
Date,,,,,
2020-01-02,15670.87109375,15759.57421875,15552.6005859375,15730.0068359375,1341023
2020-01-03,15611.736328125,15730.0068359375,15493.4658203125,15670.87109375,598571
2020-01-06,15670.87109375,15670.87109375,15375.1943359375,15582.16796875,540553
2020-01-07,15552.6005859375,15670.87109375,15434.330078125,15611.736328125,217379
2020-01-08,15079.517578125,15523.033203125,14902.111328125,15375.1943359375,2219955
2020-01-09,15138.6533203125,15316.0595703125,14842.9765625,15109.0859375,417699
2020-01-10,15138.6533203125,15168.220703125,14902.111328125,15109.0859375,478899
2020-01-13,15138.6533203125,15168.220703125,15079.517578125,15109.0859375,1676371
2020-01-14,15138.6533203125,15168.220703125,15020.3828125,15079.517578125,183509
2020-01-15,15138.6533203125,15168.220703125,15049.9501953125,15138.6533203125,1728402
2020-01-16,15256.923828125,15256.923828125,15079.517578125,15109.0859375,2773581
2020-01-17,15256.923828125,15316.0595703125,15197.7880859375,15256.923828125,134468
2020-01-20,15256.923828125,15256.923828125,15168.220703125,15227.3564453125,127652
2020-01-21,15286.4912109375,15316.0595703125,15079.517578125,15227.3564453125,645026
2020-01-22,15316.0595703125,15375.1943359375,15256.923828125,15256.923828125,1134091
2020-01-30,15079.517578125,15256.923828125,14902.111328125,15197.7880859375,313889
2020-01-31,14783.8408203125,15079.517578125,14665.5703125,15079.517578125,331846
2020-02-03,14606.4345703125,14665.5703125,14192.4873046875,14369.8935546875,407673
2020-02-04,14606.4345703125,14695.1376953125,14429.029296875,14606.4345703125,427017
2020-02-05,14636.0029296875,14636.0029296875,14547.2998046875,14576.8671875,1848062
2020-02-06,14724.7060546875,14754.2734375,14488.1640625,14636.0029296875,444148
2020-02-07,14724.7060546875,14724.7060546875,14606.4345703125,14724.7060546875,295708
2020-02-10,14724.7060546875,14724.7060546875,14606.4345703125,14695.1376953125,180768
2020-02-11,14783.8408203125,14783.8408203125,14665.5703125,14695.1376953125,258506
2020-02-12,14961.2470703125,14961.2470703125,14724.7060546875,14754.2734375,1950201
2020-02-13,14724.7060546875,14902.111328125,14695.1376953125,14842.9765625,172785
2020-02-14,14488.1640625,14695.1376953125,14310.7578125,14665.5703125,785161
2020-02-17,14488.1640625,14488.1640625,14340.326171875,14340.326171875,500746
2020-02-18,14488.1640625,14517.7314453125,14399.4609375,14488.1640625,1151879
2020-02-19,14488.1640625,14488.1640625,14429.029296875,14458.5966796875,1587388
2020-02-20,14517.7314453125,14517.7314453125,14458.5966796875,14488.1640625,486423
2020-02-21,14517.7314453125,14576.8671875,14429.029296875,14517.7314453125,676698
2020-02-24,14399.4609375,14488.1640625,14310.7578125,14369.8935546875,753403
2020-02-25,14606.4345703125,14606.4345703125,14369.8935546875,14369.8935546875,3116542
2020-02-26,14488.1640625,14547.2998046875,14429.029296875,14488.1640625,146762
2020-02-27,14665.5703125,14665.5703125,14458.5966796875,14458.5966796875,289383
2020-02-28,14517.7314453125,14606.4345703125,14429.029296875,14429.029296875,172904
2020-03-02,14547.2998046875,14576.8671875,14488.1640625,14517.7314453125,326485
2020-03-03,14547.2998046875,14665.5703125,14517.7314453125,14665.5703125,315916
2020-03-04,14665.5703125,14724.7060546875,14547.2998046875,14547.2998046875,346677
2020-03-05,14665.5703125,14695.1376953125,14636.0029296875,14665.5703125,169724
2020-03-06,14488.1640625,14636.0029296875,14488.1640625,14636.0029296875,212696
2020-03-09,13601.1337890625,14310.7578125,13601.1337890625,14192.4873046875,985534
2020-03-10,13896.810546875,13896.810546875,13601.1337890625,13601.1337890625,255039
2020-03-11,13601.1337890625,13985.513671875,13423.7275390625,13896.810546875,289654
2020-03-12,12802.806640625,13541.998046875,12654.9677734375,13128.05078125,446040
2020-03-13,12477.5615234375,12714.103515625,11915.775390625,12714.103515625,1830221
2020-03-16,12034.046875,12477.5615234375,11827.0732421875,12477.5615234375,504637
2020-03-17,12418.4267578125,12418.4267578125,11767.9375,11767.9375,3200620
2020-03-18,12418.4267578125,12447.994140625,12270.587890625,12447.994140625,802665
2020-03-19,12418.4267578125,12418.4267578125,11945.34375,12300.1552734375,361810
2020-03-20,11827.0732421875,12418.4267578125,11797.5048828125,12418.4267578125,1058940
2020-03-23,11235.71875,11827.0732421875,11176.583984375,11827.0732421875,654090
2020-03-24,11324.421875,11708.8017578125,10880.9072265625,11708.8017578125,9821139
2020-03-25,11442.693359375,11560.9638671875,11324.421875,11353.990234375,616786
2020-03-26,11442.693359375,11945.34375,11413.125,11472.2607421875,1061003
2020-03-27,11501.828125,11560.9638671875,11413.125,11472.2607421875,273285
2020-03-30,11117.4482421875,11442.693359375,11058.3134765625,11353.990234375,292562
2020-03-31,10940.0419921875,11235.71875,10348.6884765625,11117.4482421875,536629
2020-04-01,10880.9072265625,10969.6103515625,10644.365234375,10940.0419921875,433188
2020-04-03,10821.771484375,11028.7451171875,10703.5009765625,10999.177734375,1361635
2020-04-06,11058.3134765625,11235.71875,10673.93359375,10821.771484375,1320256
2020-04-07,11058.3134765625,11235.71875,10880.9072265625,11176.583984375,1633959
2020-04-08,11531.396484375,11708.8017578125,10940.0419921875,10940.0419921875,1598887
2020-04-09,11827.0732421875,11886.2080078125,11531.396484375,11531.396484375,1097225
2020-04-10,11767.9375,11886.2080078125,11531.396484375,11886.2080078125,396257
2020-04-13,11915.775390625,12063.6142578125,11590.53125,11590.53125,1244413
2020-04-14,11945.34375,12181.884765625,11886.2080078125,11886.2080078125,849115
2020-04-15,12211.453125,12211.453125,12063.6142578125,12063.6142578125,946096
2020-04-16,12181.884765625,12241.0205078125,12122.75,12241.0205078125,875834
2020-04-17,12359.291015625,12418.4267578125,12211.453125,12211.453125,1607360
2020-04-20,12359.291015625,12418.4267578125,12300.1552734375,12359.291015625,946437
2020-04-21,12063.6142578125,12300.1552734375,11649.6669921875,12300.1552734375,1173659
2020-04-22,12093.181640625,12122.75,11708.8017578125,11945.34375,960269
2020-04-23,12122.75,12152.3173828125,11974.9111328125,12063.6142578125,753963
2020-04-24,12122.75,12181.884765625,12063.6142578125,12122.75,639969
2020-04-27,12122.75,12181.884765625,12093.181640625,12152.3173828125,886101
2020-04-28,12152.3173828125,12211.453125,12093.181640625,12152.3173828125,692289
2020-04-29,12388.8583984375,12418.4267578125,12152.3173828125,12152.3173828125,1482578
2020-05-04,12359.291015625,12418.4267578125,12300.1552734375,12359.291015625,900777
2020-05-05,12418.4267578125,12477.5615234375,12359.291015625,12388.8583984375,1610996
2020-05-06,12418.4267578125,12507.1298828125,12241.0205078125,12447.994140625,2601655
2020-05-07,12507.1298828125,12566.2646484375,12447.994140625,12477.5615234375,11829162
2020-05-08,12625.400390625,12654.9677734375,12536.697265625,12566.2646484375,16957634
2020-05-11,12625.400390625,12654.9677734375,12566.2646484375,12625.400390625,8064546
2020-05-12,13335.0244140625,13335.0244140625,12625.400390625,12654.9677734375,5795123
2020-05-13,13601.1337890625,13630.701171875,12980.212890625,13187.1865234375,1818325
2020-05-14,13571.56640625,13630.701171875,13305.45703125,13601.1337890625,916132
2020-05-15,13009.7802734375,13482.86328125,13009.7802734375,13482.86328125,1515452
2020-05-18,12891.509765625,13068.9150390625,12832.3740234375,13009.7802734375,452973
2020-05-19,13246.3212890625,13246.3212890625,12891.509765625,13009.7802734375,2326303
2020-05-20,13128.05078125,13216.75390625,13009.7802734375,13187.1865234375,843400
2020-05-21,13009.7802734375,13187.1865234375,13009.7802734375,13157.6181640625,710469
2020-05-22,12595.8330078125,13039.34765625,12566.2646484375,13039.34765625,1106204
2020-05-25,12832.3740234375,12861.94140625,12595.8330078125,12654.9677734375,650944
2020-05-26,13039.34765625,13039.34765625,12832.3740234375,12832.3740234375,1080754
2020-05-27,12832.3740234375,13128.05078125,12743.6708984375,13098.4833984375,740957
2020-05-28,12861.94140625,12950.64453125,12802.806640625,12891.509765625,2949197
2020-05-29,13009.7802734375,13039.34765625,12861.94140625,12861.94140625,1077154
2020-06-01,13157.6181640625,13157.6181640625,12980.212890625,13068.9150390625,845834
2020-06-02,13157.6181640625,13305.45703125,13039.34765625,13246.3212890625,1362669
2020-06-03,13719.404296875,13719.404296875,13009.7802734375,13068.9150390625,2292279
2020-06-04,13601.1337890625,13955.9462890625,13571.56640625,13719.404296875,2255786
2020-06-05,13808.107421875,13867.2431640625,13541.998046875,13630.701171875,1712896
2020-06-08,14133.3515625,14310.7578125,13808.107421875,13808.107421875,1187728
2020-06-09,13896.810546875,14251.623046875,13896.810546875,14133.3515625,1507740
2020-06-10,13926.3779296875,13926.3779296875,13689.8369140625,13689.8369140625,5335062
2020-06-11,13808.107421875,14192.4873046875,13601.1337890625,14015.0810546875,5470091
2020-06-12,13719.404296875,13748.9716796875,13423.7275390625,13541.998046875,3254227
2020-06-15,13601.1337890625,13837.6748046875,13482.86328125,13778.5400390625,2414574
2020-06-16,13778.5400390625,13778.5400390625,13660.26953125,13660.26953125,960470
2020-06-17,13778.5400390625,13808.107421875,13719.404296875,13808.107421875,505836
2020-06-18,13837.6748046875,13896.810546875,13630.701171875,13630.701171875,1804739
2020-06-19,14369.8935546875,14429.029296875,13867.2431640625,13867.2431640625,1481480
2020-06-22,14340.326171875,14488.1640625,14162.919921875,14488.1640625,957191
2020-06-23,14251.623046875,14369.8935546875,14133.3515625,14369.8935546875,1970915
2020-06-24,14192.4873046875,14310.7578125,14074.216796875,14251.623046875,1709804
2020-06-25,14103.7841796875,14162.919921875,13896.810546875,14074.216796875,1812126
2020-06-26,13955.9462890625,14103.7841796875,13926.3779296875,14074.216796875,1038800
2020-06-29,13719.404296875,14074.216796875,13482.86328125,13955.9462890625,1370817
