Price,Close,High,Low,Open,Volume
Ticker,MBB.VN,MBB.VN,MBB.VN,MBB.VN,MBB.VN
Date,,,,,
2020-01-02,6228.26220703125,6242.951504689343,6110.74782576651,6140.126421082695,9266237
2020-01-03,6242.951171875,6316.397656249999,6228.261875,6301.708359374999,11305525
2020-01-06,6154.8154296875,6228.26191452864,6154.8154296875,6213.572617560411,8485959
2020-01-07,6169.5048828125,6213.572774832589,6125.43699079241,6169.5048828125,8729589
2020-01-08,6081.369140625,6169.504925271739,6081.369140625,6110.747735507247,13672241
2020-01-09,6184.19384765625,6213.572440756755,6096.058068354736,6154.815254555745,10727403
2020-01-10,6287.01953125,6360.466021101051,6213.573041398949,6213.573041398949,27949573
2020-01-13,6257.640625,6345.776408450704,6242.9513277582155,6301.708516725352,9502447
2020-01-14,6316.39794921875,6360.465841887718,6242.9514614371365,6257.640758993459,14823437
2020-01-15,6301.70849609375,6345.776387674825,6301.70849609375,6316.397793287442,11792381
2020-01-16,6463.291015625,6507.358908913352,6316.398037997159,6331.087335759943,26569321
2020-01-17,6463.291015625,6536.73750443892,6433.912420099432,6477.980313387784,15790686
2020-01-20,6463.291015625,6492.669611150568,6419.223122336648,6463.291015625,14013855
2020-01-21,6624.873046875,6639.562344096453,6477.980074660477,6492.669371881929,17174223
2020-01-22,6580.80517578125,6639.562364850725,6566.1158785138805,6624.873067583356,17911016
2020-01-30,6242.951171875,6492.669218749999,6228.261875,6433.91203125,30108380
2020-01-31,6110.74755859375,6331.087013831506,6110.74755859375,6184.194043673002,26230890
2020-02-03,5978.5439453125,6110.747619778869,5728.82589354269,5919.78675666078,46900890
2020-02-04,6213.57275390625,6331.087132230718,5919.78680809508,6066.679781000666,31210627
2020-02-05,6213.57275390625,6345.776429521277,6184.194159325133,6287.019240359043,26136947
2020-02-06,6404.53369140625,6463.290881235665,6140.126337173881,6213.572824460651,42819296
2020-02-07,6287.01953125,6404.533915011682,6287.01953125,6389.844617041472,26182470
2020-02-10,6169.5048828125,6257.640666852678,6154.81558547247,6198.883477492559,22874085
2020-02-11,6228.26220703125,6257.640802347435,6184.194314056972,6198.883611715065,14737839
2020-02-12,6360.46533203125,6433.911813925375,6257.640257379475,6301.70814651595,36036393
2020-02-13,6287.01953125,6389.844617041472,6272.330233279789,6331.087425160631,21405024
2020-02-14,6389.84423828125,6433.912129579741,6331.087049883262,6345.776346982759,29541866
2020-02-17,6448.6015625,6522.04804954442,6404.533670273348,6463.290859908884,31769914
2020-02-18,6389.84423828125,6492.66931797773,6375.154941181753,6477.980020878233,22003342
2020-02-19,6345.7763671875,6404.533555772569,6316.397772894966,6389.844258626303,15151654
2020-02-20,6360.46533203125,6433.911813925375,6345.776035652425,6404.533221167725,19853186
2020-02-21,6228.26220703125,6375.155183612176,6213.572909373158,6375.155183612176,30685060
2020-02-24,5905.09765625,6110.747823383085,5905.09765625,6081.369228078359,39476481
2020-02-25,6110.74755859375,6110.74755859375,5831.650915292594,5875.7188063401445,38787528
2020-02-26,6022.61181640625,6140.126193311738,5978.543925066692,5978.543925066692,16858395
2020-02-27,6140.1259765625,6140.1259765625,6007.922307210676,6037.3009003999705,13158940
2020-02-28,5993.23291015625,6096.057984595205,5978.543613807828,6022.611502853095,23252425
2020-03-02,6081.369140625,6110.747735507247,6007.922653419384,6022.611950860508,16248534
2020-03-03,6140.1259765625,6213.572459535736,6110.747383373206,6184.193866346442,21294436
2020-03-04,6096.05859375,6125.43718938253,6051.990700301205,6110.747891566265,16118316
2020-03-05,6066.6796875,6154.815469884988,6066.6796875,6140.126172820823,14674779
2020-03-06,6066.6796875,6081.368984564165,5993.233202179176,6022.611796307506,13764963
