Price,Close,High,Low,Open,Volume
Ticker,MCH.VN,MCH.VN,MCH.VN,MCH.VN,MCH.VN
Date,,,,,
2025-12-25,181415.21875,181415.21875,172730.00963861888,178574.2594750385,1224295
2025-12-26,178574.25,179791.80391038084,175327.45497815224,175327.45497815224,513888
2025-12-29,178655.421875,178655.421875,173704.04833810564,178574.24853380752,2179689
2025-12-30,179548.296875,179548.296875,177762.5604073007,178493.0896625338,465772
2025-12-31,180197.65625,182632.76408476385,179548.30032306345,179548.30032306345,174354
2026-01-05,179548.296875,181739.88464069928,175165.1059377672,181739.88464069928,559183
2026-01-06,178574.25,179061.27464531924,177600.21611519603,179061.27464531924,1639191
2026-01-07,178574.25,178574.25,175895.63755949595,177194.36481173572,490311
2026-01-08,175733.3125,177113.197737092,174840.43651962574,177113.197737092,3929984
2026-01-09,176000.0,179100.0,170000.0,175000.0,190673
2026-01-12,172800.0,173100.0,170000.0,172500.0,111689
2026-01-13,169900.0,172800.0,164000.0,171500.0,323210
2026-01-14,168000.0,169700.0,165200.0,165200.0,97528
2026-01-15,165000.0,167900.0,163900.0,165500.0,371713
