Price,Close,High,Low,Open,Volume
Ticker,REE.VN,REE.VN,REE.VN,REE.VN,REE.VN
Date,,,,,
2020-01-02,19918.9921875,20107.669715274697,19460.774545113905,19568.5894860519,1647089
2020-01-03,19676.404296875,19972.896735878396,19676.404296875,19918.99019156644,1234498
2020-01-06,19649.451171875,19945.94362699221,19460.773652751996,19568.588588746203,864304
2020-01-07,19757.263671875,19865.08043608667,19622.494558121038,19676.40294022687,867156
2020-01-08,19245.140625,19730.31056610791,19191.23223992888,19622.495637476397,2233216
2020-01-09,19245.140625,19514.67886733415,19245.140625,19406.863938702638,1230564
2020-01-10,19245.140625,19433.818131238197,19218.18643246444,19245.140625,777098
2020-01-13,19272.09375,19406.86471809026,19218.187204274698,19245.14139789275,520363
2020-01-14,19299.046875,19406.863643502227,19272.09268287444,19272.09268287444,532832
2020-01-15,19164.27734375,19379.90903460654,19110.368960658197,19299.04645996884,881724
2020-01-16,19622.494140625,19676.40252158386,19218.18496645473,19272.091505903,1683662
2020-01-17,19676.404296875,19918.99019156644,19541.633332318226,19541.633332318226,1289191
2020-01-20,19811.17578125,19918.99256574629,19595.54405376839,19595.54405376839,1189794
2020-01-21,20107.66796875,20215.48290032334,19892.036264092545,19945.942809123826,1647475
2020-01-22,19945.943359375,20215.48345801035,19730.311648768886,20215.48345801035,1702377
2020-01-30,19299.046875,19784.218650238625,19299.046875,19568.586954744867,1690010
2020-01-31,18274.798828125,19272.09484089053,18274.798828125,19137.32570668251,2749121
2020-02-03,18059.1640625,18247.84155517192,17169.68313882481,17843.53237923058,2968009
2020-02-04,18005.2578125,18436.521230085404,17951.349424924123,18166.98113371682,1395407
2020-02-05,17951.349609375,18382.61303139165,17951.349609375,18113.072932253537,1372619
2020-02-06,18328.703125,18652.151585474985,18005.256506035694,18140.02562368571,1637365
2020-02-07,18274.798828125,18382.613767189236,18193.936242693642,18328.705376901664,1076248
2020-02-10,18086.119140625,18274.79664255576,18059.164948704794,18059.164948704794,928633
2020-02-11,18463.474609375,18544.337187171644,18220.888717495804,18220.888717495804,1313658
2020-02-12,18733.015625,18867.784753182535,18598.24465530664,18598.24465530664,1372880
2020-02-13,18759.96875,18759.96875,18544.337052288094,18598.243595583033,1143271
2020-02-14,18948.6484375,18948.6484375,18706.062519448245,18733.01671495521,733076
2020-02-17,18867.783203125,19218.185854030045,18759.96827773853,18975.599970022144,1436946
2020-02-18,18921.69140625,19083.41471354382,18813.87464038035,18867.783023315176,972043
2020-02-19,18948.6484375,18975.602633006965,18867.785850979104,18975.602633006965,562355
2020-02-20,19218.1875,19245.141694032816,18921.693207149838,19137.324917901547,1436492
2020-02-21,18867.783203125,19245.14004575433,18867.783203125,19029.506511960044,905529
2020-02-24,18140.02734375,18652.153354099824,18140.02734375,18463.475834894853,1803853
2020-02-25,18463.474609375,18544.337187171644,17843.53370413293,17843.53370413293,1121268
2020-02-26,18382.61328125,18517.384253406297,18166.981567310788,18166.981567310788,1020280
2020-02-27,18652.154296875,18652.154296875,18220.890847890845,18274.7992393916,1082983
2020-02-28,18382.61328125,18490.43005897504,18247.844150604564,18274.798345035822,1134893
2020-03-02,17493.130859375,17789.62513335902,17493.130859375,17789.62513335902,1239641
2020-03-03,17466.177734375,17708.763638547476,17466.177734375,17681.809444582665,916320
2020-03-04,17466.177734375,17654.855250617853,17331.40860606177,17493.13192833981,669833
2020-03-05,17358.361328125,17708.762136933674,17358.361328125,17708.762136933674,764261
2020-03-06,17250.544921875,17466.176618304016,17061.86741768845,17304.45330635993,939196
2020-03-09,16118.4794921875,16873.19141772605,16064.571102896702,16441.927986421415,3762651
2020-03-10,16334.111328125,16414.973912656675,15633.307786716494,15929.802088488408,1051256
2020-03-11,16091.5234375,16576.69520201374,15795.029172183677,16334.10931975687,2428335
2020-03-12,15094.2275390625,15633.30679807193,15013.365880399931,15417.675094468157,2072466
2020-03-13,15202.0439453125,15471.58404502556,14150.838661338072,14150.838661338072,2343702
2020-03-16,15121.1806640625,15363.766543669657,14932.502246170643,14932.502246170643,1560951
2020-03-17,16118.4794921875,16172.387881478298,14932.504135344308,14932.504135344308,2158412
2020-03-18,16334.111328125,16711.468214428587,16172.38800057254,16711.468214428587,992874
2020-03-19,16064.5703125,16253.249665734536,15902.846994095466,16172.387085776878,1029515
2020-03-20,16064.5703125,16172.387085776878,15929.801187414685,16064.5703125,715377
2020-03-23,14959.4580078125,15660.261528967267,14959.4580078125,15633.307334902373,28202899
2020-03-24,15202.0439453125,15417.67565678078,14932.503845599442,15309.85980104664,845170
2020-03-25,15741.1220703125,15902.845372223477,15336.811974024464,15525.490387261,626318
2020-03-26,15282.9052734375,15687.215414184679,15282.9052734375,15417.675320353226,589010
2020-03-27,15094.2275390625,15282.905049526953,15067.273345923182,15255.951777143022,687305
2020-03-30,14770.779296875,15067.272645355592,14285.607525947356,14662.963450086116,1044662
2020-03-31,14716.8720703125,15202.043879389925,14069.976938712874,14770.780458323508,891904
2020-04-01,15255.951171875,15336.812827329444,14824.686861022148,14986.411092686387,1536657
2020-04-03,15552.4462890625,15687.215415231823,15390.721127846355,15444.629514918404,694895
2020-04-06,16280.2001953125,16307.154385614756,15687.213533194566,15795.02845289302,1001549
2020-04-07,16172.38671875,16414.972611606787,15687.214933036425,16414.972611606787,818480
2020-04-08,16064.5703125,16145.432892457658,15687.215289052494,15714.169482371713,571415
2020-04-09,16091.5234375,16388.01770281632,16037.615054440548,16091.5234375,1138951
2020-04-10,16361.064453125,16765.37366632396,16064.570170740735,16091.524363822102,1789179
2020-04-13,16388.01953125,16657.559635109552,16118.479427390448,16361.065336712958,1025177
2020-04-14,16414.97265625,16495.833393081684,16118.478377171841,16388.01846346919,1030285
2020-04-15,16711.466796875,16900.14430326674,16414.97252025327,16441.926712810768,2132509
2020-04-16,16603.650390625,16711.46716321851,16522.787811179867,16576.696197476624,710811
2020-04-17,16711.466796875,16927.098495824237,16603.650026645017,16603.650026645017,1079206
2020-04-20,16630.603515625,16873.18939686885,16522.786749956333,16711.4660898765,672770
2020-04-21,15795.0302734375,16603.65055117554,15795.0302734375,16495.833777539487,2262844
2020-04-22,15875.892578125,16145.43266602625,15579.398297282549,15633.30668316495,1541379
2020-04-23,15902.8466796875,16172.386766039957,15902.846679687502,16172.386766039957,1419298
2020-04-24,16495.833984375,16522.788178121984,15848.93885897985,15848.93885897985,1757960
2020-04-27,16441.927734375,16765.37438213977,16334.11095744618,16630.60525248959,1005764
2020-04-28,16361.064453125,16441.927032369098,16145.432749984835,16441.927032369098,625164
2020-04-29,16172.38671875,16414.972611606787,16172.38671875,16361.06422619178,957840
2020-05-04,15956.7548828125,16172.386581126808,15929.80069033437,15929.80069033437,1125885
2020-05-05,16172.38671875,16172.38671875,15956.755018600716,15956.755018600716,431529
2020-05-06,16388.01953125,16388.01953125,16172.38781646453,16172.38781646453,333429
2020-05-07,16495.833984375,16549.742371868964,16334.110663403915,16441.927438391845,806185
2020-05-08,16495.833984375,16927.09924281591,16414.97324464486,16630.604953109912,1492127
2020-05-11,16549.740234375,16684.51118570347,16441.925314822798,16657.55699543778,611257
2020-05-12,16873.19140625,16954.05214862033,16414.973780611614,16549.742912236074,1617655
2020-05-13,17250.544921875,17250.544921875,16657.558217072878,16873.189913501894,1751470
2020-05-14,17223.591796875,17304.454378612965,17034.914280997236,17034.914280997236,805783
2020-05-15,16927.099609375,17223.592063990778,16657.559507579048,17223.592063990778,1187224
2020-05-18,16900.14453125,16900.14453125,16630.60444354967,16738.419373723347,866193
2020-05-19,16954.05078125,17115.775935969017,16873.190045401214,16981.00497370317,1983318
2020-05-20,16927.099609375,16981.00615652551,16846.237026382958,16954.05196219483,665775
2020-05-21,17142.73046875,17142.73046875,16819.281994401397,16927.098766354517,902240
2020-05-22,16819.28125,17034.91294285188,16819.28125,17034.91294285188,714746
2020-05-25,16819.28125,16873.18963359064,16684.51213253408,16819.28125,726168
2020-05-26,17520.083984375,17520.083984375,16819.280551339576,16819.280551339576,2605929
2020-05-27,17007.958984375,17573.993336820324,17007.958984375,17520.08495249016,1679026
2020-05-28,16954.05078125,17169.684320875353,16927.098430307553,17142.730128422187,850784
2020-05-29,16846.23828125,16954.053225092946,16792.329888573033,16954.053225092946,835725
2020-06-01,17088.8203125,17142.72869289206,16873.188632442343,16873.188632442343,795097
2020-06-02,17061.8671875,17250.54468914103,17007.958803742367,17142.72976313645,756181
2020-06-03,17088.8203125,17142.72869289206,17034.911932107945,17061.86612230397,904864
2020-06-04,17250.544921875,17304.45330635993,17088.821609930914,17088.821609930914,1856865
2020-06-05,17250.544921875,17250.544921875,17169.68418665831,17250.544921875,1011046
2020-06-08,17331.408203125,17573.994101657612,17250.545623110535,17358.362396463155,2425240
2020-06-09,17223.591796875,17520.086088403386,17196.637602962346,17520.086088403386,1024514
2020-06-10,17223.591796875,17223.591796875,17061.86847490989,17223.591796875,840222
2020-06-11,16441.927734375,17250.546195297768,16441.927734375,17223.59200106556,2510627
2020-06-12,16603.650390625,16657.558776921756,15902.846893299498,15902.846893299498,1463217
2020-06-15,16307.1552734375,16630.60373316376,16307.1552734375,16603.649541394014,844749
2020-06-16,16549.740234375,16549.740234375,16388.01693429141,16441.925314822798,594783
2020-06-17,16522.787109375,16657.558069392493,16441.926374875195,16657.558069392493,318160
2020-06-18,16657.55859375,16657.55859375,16388.018506740944,16388.018506740944,258378
2020-06-19,16927.099609375,16954.05196219483,16603.65111891769,16657.559507579048,393070
2020-06-22,16846.23828125,16927.10087026545,16765.37569223455,16819.284084911516,358841
2020-06-23,16900.14453125,16981.00526850257,16846.236145407784,16927.09872417111,803142
2020-06-24,16900.14453125,17007.959461423678,16765.373566644455,16873.19033832889,457154
2020-06-25,16765.375,16765.375,16603.651670157567,16711.468451059798,325348
2020-06-26,16819.28125,16954.05036746592,16603.64955714812,16765.37286640936,175231
2020-06-29,16549.740234375,16711.465375969165,16495.83185384361,16549.740234375,617869
2020-06-30,16522.787109375,16657.558069392493,16522.787109375,16549.741301378497,593873
2020-07-01,16630.603515625,16684.511898459335,16522.786749956333,16522.786749956333,168042
2020-07-02,16684.51171875,16765.372450619896,16603.649145369473,16657.557527623158,216681
2020-07-03,17115.77734375,17115.77734375,16684.51391204911,16792.328849218895,459794
2020-07-06,17223.591796875,17412.269312752764,17196.637602962346,17223.591796875,737501
2020-07-07,17169.68359375,17304.452708797737,17169.68359375,17250.544326174386,335160
2020-07-08,17250.544921875,17250.544921875,17088.821609930914,17142.729994415844,465865
2020-07-09,17304.455078125,17331.409273127247,17196.638298116013,17250.546688120507,493883
2020-07-10,17250.544921875,17304.45330635993,17061.86741768845,17277.499114117465,452536
2020-07-13,17735.71875,17870.487885284983,17142.73197663079,17250.54691655659,1958466
2020-07-14,17735.71875,17789.627140718363,17681.81035928164,17735.71875,686903
2020-07-15,17816.580078125,17951.34920389451,17735.717497756817,17789.625884668938,766133
2020-07-16,17843.53515625,17843.53515625,17708.764182287854,17789.62676666514,614546
2020-07-17,17600.947265625,17843.533149970262,17573.99307386323,17843.533149970262,1412671
2020-07-20,17466.177734375,17654.855250617853,17385.316993991393,17573.994510234246,597598
2020-07-21,17600.947265625,17735.71638292318,17466.176306816145,17493.130498577917,186058
2020-07-22,17439.22265625,17681.80854812349,17439.22265625,17600.94781183948,231427
2020-07-23,18113.07421875,18113.07421875,17358.36409737235,17493.133235758083,865127
2020-07-24,17520.083984375,18086.118305542714,17142.728997936927,18059.16411486705,1347275
2020-07-27,17088.8203125,17493.129482419292,16981.003551715887,16981.003551715887,4388640
2020-07-28,17412.26953125,17627.903085257112,17061.868689010134,17196.637818753734,3711872
2020-07-29,17250.544921875,17277.499114117465,17034.91322544598,17250.544921875,1492215
2020-07-30,17493.130859375,17493.130859375,17250.544970026385,17250.544970026385,372571
2020-07-31,17493.130859375,17600.947628645812,17250.544970026385,17250.544970026385,734406
2020-08-03,18166.98046875,18247.843047154,17466.176980447563,17466.176980447563,1265788
2020-08-04,18166.98046875,18301.751432756668,18032.211346254076,18220.888854352666,605959
2020-08-05,18382.61328125,18382.61328125,17978.30404780283,17978.30404780283,952140
2020-08-06,18409.56640625,18544.337370577305,18220.88889770252,18220.88889770252,564175
2020-08-07,18652.154296875,18894.740217117458,18328.70578938141,18328.70578938141,1023743
2020-08-10,18625.197265625,18921.691532229932,18625.197265625,18813.874765642442,619951
2020-08-11,18598.244140625,18652.1525270105,18328.70405020827,18625.19833381775,887916
2020-08-12,18625.197265625,18652.151457271873,18355.65719066694,18544.33653219505,745250
2020-08-13,19029.5078125,19245.141361031405,18706.061172724494,18813.876105479398,1559673
2020-08-14,19029.5078125,19137.324586765702,18706.061172724494,18921.6928797451,1238610
2020-08-17,18867.783203125,18975.599970022144,18759.96827773853,18813.874819676428,658430
2020-08-18,19002.556640625,19191.23416579726,18786.924920212285,18786.924920212285,481394
2020-08-19,19029.5078125,19110.37039319928,18975.601266877948,19110.37039319928,543536
2020-08-20,19029.5078125,19137.324586765702,18840.83029904582,19002.555460444375,848617
2020-08-21,19191.232421875,19272.09315873757,19029.50726512837,19110.369843501685,687603
2020-08-24,19379.912109375,19379.912109375,19245.142971774025,19299.049521907844,881078
2020-08-25,19865.08203125,19865.08203125,19379.9102363595,19406.86442957684,1601755
2020-08-26,19649.451171875,19918.9912741268,19622.496977498733,19892.037079750535,782888
2020-08-27,19811.17578125,19865.084173498144,19541.635661520242,19649.452446016534,681323
2020-08-28,19865.08203125,20107.66792869525,19730.311065163318,19730.311065163318,830058
2020-08-31,19892.03515625,20053.758465358576,19838.12677271025,19865.080964480123,503973
2020-09-01,19945.943359375,19945.943359375,19002.555776417525,19002.555776417525,628084
2020-09-03,20215.482421875,20215.482421875,19892.035793299357,19999.850722320993,746701
2020-09-04,20107.66796875,20161.576355292058,19838.127877550487,19945.942809123826,425724
2020-09-07,19730.310546875,20161.57578551285,19730.310546875,20107.66740049428,503169
2020-09-08,19784.21875,19918.989711307364,19649.449630203348,19892.03551904589,420109
2020-09-09,20026.8046875,20107.667264480886,19703.358062597894,19784.218798068065,526449
2020-09-10,21024.1015625,21024.1015625,19972.89547154415,20107.666427569588,1761913
2020-09-11,20862.37890625,21078.010601092923,20592.838827318672,21024.102217004518,1035095
2020-09-14,21185.828125,21320.59910174303,20862.381463838563,21024.104794419283,583887
2020-09-15,20997.1484375,21185.825944005745,20808.470930994255,21185.825944005745,980876
2020-09-16,21024.1015625,21104.962294604626,20916.28479767965,20997.147371294912,631390
2020-09-17,21509.2734375,21805.76585933822,20997.14748485486,21024.101676205726,1446898
2020-09-18,21724.908203125,21751.86239829268,21509.276483294467,21670.99981278964,646291
2020-09-21,21778.814453125,22183.123657884487,21617.089298012623,21724.90606808754,1086201
2020-09-22,21778.814453125,21886.62938168919,21536.22856196716,21590.135105493893,762547
2020-09-23,21590.13671875,21994.447795231106,21536.230171195268,21832.72262803432,761726
2020-09-24,21778.814453125,21967.491959245377,21401.457599373516,21590.135105493893,762337
2020-09-25,21778.814453125,21886.62938168919,21563.180912975164,21832.72099665173,396078
2020-09-28,21724.908203125,21859.677337452496,21670.99981278964,21832.723142284813,462889
