Price,Close,High,Low,Open,Volume
Ticker,SAB.VN,SAB.VN,SAB.VN,SAB.VN,SAB.VN
Date,,,,,
2020-01-02,92107.578125,93752.35630580358,92107.578125,93752.35630580358,147200
2020-01-03,92354.2890625,93341.1559091162,92107.57235084595,92107.57235084595,35180
2020-01-06,92025.3359375,92313.17210888628,91490.7830477826,91696.38031305853,667700
2020-01-07,92107.578125,92477.65321568081,91531.90576171875,91531.90576171875,407160
2020-01-08,91778.6171875,92313.17006538418,91531.90047463037,92313.17006538418,61220
2020-01-09,93341.1640625,93711.23916230728,90873.99673045154,91285.19128579296,308060
2020-01-10,96013.9296875,96425.12424718951,93341.16504951821,93341.16504951821,347540
2020-01-13,96178.3984375,96754.07076675395,96013.92062914174,96013.92062914174,45180
2020-01-14,95808.328125,96178.40321217812,95397.13358369099,95397.13358369099,18680
2020-01-15,96219.515625,96425.11288060897,95808.32111378205,95808.32111378205,125080
2020-01-16,95931.6953125,96589.6066391181,95808.33693875911,95808.33693875911,118540
2020-01-17,96425.1171875,96425.1171875,95808.32539312367,95931.68375199893,25160
2020-01-20,97041.90625,97041.90625,95808.32269597457,95808.32269597457,74340
2020-01-21,95808.328125,97041.91174892704,95808.328125,97041.91174892704,369080
2020-01-22,95602.734375,97041.91532258065,95027.06199596774,95808.3316532258,80620
2020-01-30,89640.40625,95150.41287270642,89640.40625,95150.41287270642,116280
2020-01-31,87173.2421875,92765.48791273586,83883.68587853774,87173.2421875,189460
2020-02-03,85898.53125,87173.23420296793,81087.55558879847,81087.55558879847,367760
2020-02-04,83472.4921875,85898.53998999383,82238.9085591133,85898.53998999383,334280
2020-02-05,79771.75,83472.50128865978,79771.75,83472.50128865978,2839740
2020-02-06,78126.9609375,81827.71171875,77839.124765625,79771.7390625,708400
2020-02-07,80182.9296875,81827.7077323718,78538.1516426282,78949.34615384616,495900
2020-02-10,80182.9296875,81827.7077323718,80182.9296875,81827.7077323718,357140
2020-02-11,79771.75,80182.94458762887,79771.75,80182.94458762887,94600
2020-02-12,78538.1484375,80553.00146024214,78538.1484375,80553.00146024214,675540
2020-02-13,78538.1484375,78867.10403304973,77304.56495418848,78867.10403304973,293540
2020-02-14,78044.71875,79360.54119467862,77756.88259022655,79319.42174328241,721200
2020-02-17,76482.1875,78126.96572580645,76482.1875,78044.72681451614,410380
2020-02-18,73192.6171875,75248.58958040731,73192.6171875,75042.99234111658,751000
2020-02-19,73192.6171875,74015.00614466293,71959.03375175562,72781.42270891854,545920
2020-02-20,74015.015625,74220.612890625,73562.701640625,74015.015625,667740
2020-02-21,74261.734375,74672.92891749724,74015.01764950166,74015.01764950166,514760
2020-02-24,73192.6171875,74097.24504037922,72822.54215677669,74097.24504037922,1297640
2020-02-25,73192.6171875,74015.00614466293,72534.70602176967,74015.00614466293,32460
2020-02-26,72781.4296875,73768.29653072034,72452.47407309322,73768.29653072034,497920
2020-02-27,71218.890625,72863.66869948037,71218.890625,72781.42979575635,154600
2020-02-28,66613.515625,70848.81939621914,66613.515625,70848.81939621914,243820
2020-03-02,69903.0703125,71136.65390625,66613.5140625,66613.5140625,520980
2020-03-03,69903.0703125,70931.056640625,69491.87578125,70931.056640625,676540
2020-03-04,69491.875,70067.54733727811,69080.68047337278,69903.06952662722,120620
2020-03-05,69491.875,69903.06952662722,69491.875,69491.875,248760
2020-03-06,66860.2265625,69491.87139644833,66613.50985931735,69491.87139644833,136340
2020-03-09,63858.51171875,65379.93150857212,62213.73356759095,62912.764281833544,515140
2020-03-10,63858.51171875,65750.0065925829,62090.37520625402,63858.51171874999,497240
2020-03-11,62501.56640625,65791.12253289473,62501.56640624999,63899.62776007401,661000
2020-03-12,59458.7265625,65750.0026095695,58430.740280299106,61391.34077303769,676800
2020-03-13,59212.0078125,62912.75830078125,56744.8408203125,56744.8408203125,628700
2020-03-16,61679.18359375,61679.18359375,57156.04346354167,58389.62713541667,210660
2020-03-17,58019.546875,61679.17810949681,57978.427422927,57978.427422927,50640
2020-03-18,55922.45703125,59993.2829474954,55922.45703125,58019.54916992187,98460
2020-03-19,52221.703125,56744.84276574803,52221.703125,53660.88391978346,81480
2020-03-20,51810.515625,53866.4884672619,49384.46767113095,52221.71019345238,103880
2020-03-23,48191.99609375,51604.910492880765,48191.99609375,49754.5352162436,476460
2020-03-24,47492.96875,49261.10524891775,45848.190611471866,46053.78787878788,49040
2020-03-25,49343.34765625,50576.93134765625,47657.449944661465,47698.56940104167,275820
2020-03-26,51399.3203125,52057.23161250001,49343.3475,49960.13934375,751940
2020-03-27,53290.80859375,54401.03377278646,51399.31384428048,51399.31384428048,291140
2020-03-30,49795.65625,53455.28746903386,49590.05899050372,53290.80966143683,248420
2020-03-31,50576.92578125,53002.973440675814,49795.65619601118,49795.65619601118,169040
2020-04-01,50618.04296875,52591.77656948111,49590.05671836921,50247.967918612914,439680
2020-04-03,51399.3203125,53414.17366875,51399.3203125,53249.69584375001,135600
2020-04-06,54277.6796875,54894.471502130684,52221.70697206439,53044.09605823864,171400
2020-04-07,56333.6484375,57156.03746578467,54277.67586678832,56744.842951642335,315060
2020-04-08,56744.84375,58595.21908967391,55922.45471014493,56744.84375,173400
2020-04-09,57567.23828125,60692.31693080357,57567.23828125,57567.23828125,472620
2020-04-10,57978.42578125,60404.47338486259,57567.231272163124,59294.24821032801,382520
2020-04-13,57978.42578125,59828.80107214096,57978.42578125,58800.81479942376,80060
2020-04-14,58965.296875,59952.163768305436,58101.78834335774,59952.163768305436,108680
2020-04-15,62912.765625,63077.243443627456,59006.41743259804,59006.41743259804,530060
2020-04-16,64804.26171875,67106.9512214467,62912.76677010628,62912.76677010628,316560
2020-04-17,68011.578125,69080.68394800484,67847.10030607619,68875.08667435007,349600
2020-04-20,72740.3125,72740.3125,69121.80062888638,70725.45929903901,335520
2020-04-21,69903.0703125,77798.0053125,69903.0703125,72740.312578125,813780
