Price,Close,High,Low,Open,Volume
Ticker,SSI.VN,SSI.VN,SSI.VN,SSI.VN,SSI.VN
Date,,,,,
2020-01-02,9322.220703125,9322.220703125,9144.896262031492,9170.228193860648,1840127
2020-01-03,9246.224609375,9423.549044748417,9195.559829061605,9372.885182724409,1306415
2020-01-06,9220.8916015625,9271.556381004946,9144.895809832888,9195.559670985962,2502107
2020-01-07,9246.224609375,9271.556540387004,9195.559829061605,9220.89176007361,1193572
2020-01-08,8992.90234375,9170.227693456574,8891.574621962662,9144.89576300974,4868210
2020-01-09,9094.2314453125,9144.896227066514,9043.567581847898,9094.2314453125,2132781
2020-01-10,9271.556640625,9296.888571910877,9068.899353759194,9119.563216330947,3837090
2020-01-13,9271.556640625,9372.885284057904,9220.89185976385,9220.89185976385,2170960
2020-01-14,9322.220703125,9347.552634954156,9246.224907637532,9271.556839466688,1979866
2020-01-15,9322.220703125,9347.552634954156,9271.556839466688,9347.552634954156,1540958
2020-01-16,9676.87109375,9676.87109375,9322.221271645081,9322.221271645081,4426129
2020-01-17,9752.8671875,9879.527764547165,9626.206610452833,9727.534337459036,5257562
2020-01-20,9752.8671875,9752.8671875,9626.206610452833,9752.8671875,2390542
2020-01-21,9752.8671875,9854.1949145062,9651.538542204384,9676.870473955934,2860278
2020-01-22,9778.19921875,9828.863082768634,9702.202504432627,9752.867286740684,3209949
2020-01-30,9372.884765625,9600.873052876801,9170.22748996857,9600.873052876801,4478377
2020-01-31,8967.5712890625,9271.557238979418,8739.582056197176,9170.22858900711,8272708
2020-02-03,8638.25390625,8663.58583794414,8359.599902746224,8511.593329489888,5836318
2020-02-04,8612.9208984375,8739.5814728766,8511.593173517736,8663.585679186777,3307833
2020-02-05,8587.5888671875,8739.581371086275,8562.256936252601,8663.58557828158,4016529
2020-02-06,8967.5712890625,8967.5712890625,8562.257607462732,8612.921473304157,5328162
2020-02-07,8967.5712890625,9094.231871955519,8866.242639090195,8967.5712890625,4754606
2020-02-10,8891.57421875,8916.906148048089,8511.592524410687,8714.248877084727,1439548
2020-02-11,8840.91015625,8916.90686857447,8815.578224904975,8891.574937229445,2824605
2020-02-12,9018.2353515625,9018.2353515625,8866.241929621687,8866.241929621687,5178162
2020-02-13,8916.90625,8967.570109175447,8891.574320412277,8916.90625,2347205
2020-02-14,9018.2353515625,9043.567282456175,8866.241929621687,8916.906709698418,2046774
2020-02-17,8942.2392578125,9094.231771954914,8942.2392578125,9018.23597402843,3628587
2020-02-18,8891.57421875,8967.570006644268,8815.577512566408,8942.238077346177,2743368
2020-02-19,8916.90625,8942.238179587723,8840.909542947496,8916.90625,3096656
2020-02-20,8916.90625,9043.56681622795,8866.24147253522,8967.570109175447,3089346
2020-02-21,8840.91015625,8942.238799919493,8840.91015625,8916.90686857447,2223225
2020-02-24,8232.939453125,8688.91790381871,8232.939453125,8638.254039648044,6464296
2020-02-25,8308.935546875,8334.267477067679,8030.282478176817,8030.282478176817,3142649
2020-02-26,8156.943359375,8460.92836989114,8055.614716439823,8106.278578762715,1927119
2020-02-27,8359.599609375,8359.599609375,8080.946533939668,8106.278464744811,2766216
2020-02-28,8055.615234375,8207.607749405417,8004.950450505226,8182.275816615256,4489827
2020-03-02,8004.94970703125,8156.943126234459,7979.617776593837,8131.610277507681,3923841
2020-03-03,8080.9462890625,8232.938787576904,8080.9462890625,8156.942997464377,3876254
2020-03-04,8232.939453125,8334.268099755762,8055.615010238238,8106.278874408906,5295109
2020-03-05,8511.59375,8587.589548836946,8334.268382801545,8384.932248692843,6121939
2020-03-06,8460.9287109375,8486.260643120037,8334.268131735393,8486.260643120037,2529482
2020-03-09,7878.2890625,8004.949631785838,7878.2890625,7878.2890625,6638185
2020-03-10,7878.2890625,7928.953841187949,7548.971674185755,7548.971674185755,6262196
