Price,Close,High,Low,Open,Volume
Ticker,VHC.VN,VHC.VN,VHC.VN,VHC.VN,VHC.VN
Date,,,,,
2020-01-02,29554.009765625,30085.830597000135,29326.086806556817,29326.086806556817,35724
2020-01-03,29098.162109375,29781.93094573615,29060.17554534872,29554.008000282432,134712
2020-01-06,29629.982421875,29705.95732932657,28832.252125901443,29250.11144591311,153960
2020-01-07,30845.572265625,30997.52209042188,29629.98435113856,29629.98435113856,285684
2020-01-08,30731.609375,31681.289504067117,30541.674773704992,30845.570848036212,322224
2020-01-09,30769.59765625,31757.26256675935,30693.62452814806,31149.470419351765,231096
2020-01-10,30921.546875,31149.46981618846,30465.700992623075,30769.59706044237,99408
2020-01-13,30389.7265625,31149.47213043745,30161.803604378012,31149.47213043745,98976
2020-01-14,30389.7265625,30617.64952062199,29629.984555858773,30199.79195116375,186660
2020-01-15,30161.802734375,30541.675507386473,29629.98370119583,30009.856474207303,95016
2020-01-16,29705.958984375,30161.803112537542,29326.08620660076,30161.803112537542,97308
2020-01-17,29250.111328125,30009.855057637327,29174.136420979372,30009.855057637327,94236
2020-01-20,29554.009765625,29554.009765625,29174.1387607274,29554.009765625,46116
2020-01-21,29250.111328125,29554.00739541155,28984.200043439298,29554.00739541155,386244
2020-01-22,30085.828125,30237.77793899259,29174.136363636364,29629.982244318184,115464
2020-01-30,28490.369140625,30009.856681890382,28110.49814563269,29174.138,213192
2020-01-31,26515.037109375,28490.368749096328,26515.037109375,27958.54793889718,369552
2020-02-03,24691.654296875,25831.26908318234,24691.654296875,25831.26908318234,304200
2020-02-04,23552.037109375,24691.651779495598,23476.062204484322,24691.651779495598,198048
2020-02-05,24691.654296875,24767.62742886342,23855.935599817552,24273.794948346276,147264
2020-02-06,25983.216796875,25983.216796875,24691.653982392563,24843.602025082237,164184
2020-02-07,26211.140625,26818.93459666801,25831.26961528851,25831.26961528851,111744
2020-02-10,25527.37109375,25983.21700613839,25071.525181361605,25451.396181469234,64188
2020-02-11,24691.654296875,25527.371213284347,24387.756426977012,25185.486777392147,194784
2020-02-12,26401.07421875,26401.07421875,24691.652185463623,24691.652185463623,396108
2020-02-13,27350.75390625,28148.484228515626,27236.792431640624,28110.497663861846,209424
2020-02-14,26591.009765625,27198.80547521909,26591.009765625,27198.80547521909,124908
2020-02-17,25603.345703125,26591.010647849675,25603.345703125,26591.010647849675,122832
2020-02-18,26325.099609375,26591.00911289007,25717.30569534857,25831.26716551902,166176
2020-02-19,26173.150390625,26591.007908559546,26135.162048523394,26325.098417087753,117696
2020-02-20,26173.150390625,26401.073320643074,25831.265995597885,26287.111855634037,245652
2020-02-21,26742.958984375,26970.8819252059,26173.151632297748,26173.151632297748,324972
2020-02-24,24881.5859375,26439.059886427956,24881.5859375,25223.47033258312,483192
2020-02-25,24539.705078125,24767.62804101981,23931.911103954895,24311.78211523019,315108
2020-02-26,24311.78125,24539.704204783277,23931.910252243903,24463.731073620907,219528
2020-02-27,23893.921875,24387.75431270483,23779.960406249043,24235.80628125287,208644
2020-02-28,23552.037109375,23893.92151041118,23400.08729959364,23552.037109375,181392
2020-03-02,24653.6640625,24919.575346042937,23172.16495373895,23172.16495373895,234672
2020-03-03,25451.39453125,25603.3443459594,24653.664236293604,24653.664236293604,353028
2020-03-04,24615.677734375,25527.369502314814,24463.729699934356,25451.3945947705,490236
2020-03-05,24349.767578125,25071.52294823706,24349.767578125,24919.574917857663,196212
2020-03-06,24349.767578125,24463.729046071534,24197.817767097666,24349.767578125,225588
2020-03-09,22678.33203125,23855.933268469114,22678.33203125,22792.29349874372,485448
2020-03-10,22032.548828125,22678.331042654394,21386.76839424346,21918.587365599098,296892
2020-03-11,20551.052734375,22716.32082992341,20551.052734375,22032.551957644962,468828
2020-03-12,19145.52734375,19829.29617745536,19145.52734375,19753.321269049873,848760
2020-03-13,17853.962890625,18993.57750533196,17815.974549702878,17853.962890625,1523424
2020-03-16,18651.6953125,18841.629916836646,17474.09221850218,17474.09221850218,467004
2020-03-17,18423.7734375,19069.55397895208,18081.888992973083,18233.83704143566,567048
2020-03-18,18765.65625,18993.579193195757,18423.771835206364,18841.629377299923,196092
2020-03-19,18271.822265625,18765.656502971633,18271.822265625,18461.758647731243,345672
2020-03-20,18271.822265625,18613.706685027428,18157.860792490854,18309.81061043506,333708
2020-03-23,17018.244140625,18005.91072321117,17018.244140625,18005.91072321117,689592
2020-03-24,16030.5810546875,17474.09185224108,16030.5810546875,16866.297925936837,430128
2020-03-25,16714.349609375,16828.311079937448,16410.45176099248,16714.349609375,5310360
2020-03-26,17474.091796875,17853.964557678544,16866.29787249653,17094.220816719455,691308
2020-03-27,16942.2734375,17777.990338495292,16790.32361502953,17474.092474202425,3444972
2020-03-30,16030.5810546875,16638.374980991743,15878.631237625434,16258.503999632592,329880
2020-03-31,15574.7353515625,16562.400271069524,15270.837494442168,16562.400271069524,830700
2020-04-01,16182.5283203125,16448.437816533587,15270.836583956867,15574.734422958052,165588
2020-04-03,16714.349609375,17056.234021062344,15992.592442047513,16182.528819867584,544968
2020-04-06,17853.962890625,17853.962890625,17094.219220604413,17474.09016529079,887724
2020-04-07,19069.552734375,19069.552734375,18157.860941804913,18993.57960542618,940728
2020-04-08,20285.142578125,20399.104053283005,18461.75897559691,19069.55291622359,1319556
2020-04-09,20361.115234375,20892.934205805464,20133.19230929113,20285.140332464427,708756
2020-04-10,19715.3359375,20209.16842138319,19297.476586123077,19905.272330061896,772068
2020-04-13,19525.396484375,19715.332847164787,19297.473561286388,19297.473561286388,506640
2020-04-14,20740.98828125,20740.98828125,19525.3986309241,19525.3986309241,565044
2020-04-15,21272.80859375,21500.73153660929,20740.987800195653,21272.80859375,699012
2020-04-16,22184.501953125,22260.475085750826,20361.118279735223,21196.835203156163,586380
2020-04-17,21804.62890625,23476.06451372127,21804.62890625,22640.347600309684,1276632
2020-04-20,22032.548828125,22526.383019502475,21690.664440547298,21690.664440547298,677160
2020-04-21,20892.935546875,21728.654179590616,20892.935546875,21652.679272803387,643092
2020-04-22,20968.912109375,21044.887022161238,19981.245365746374,20513.066193953804,440616
2020-04-23,20968.912109375,21652.680982506794,20892.937196588766,21348.78311200996,300060
2020-04-24,20703.001953125,21272.809329994056,20133.194576255948,21272.809329994056,340500
2020-04-27,22146.51171875,22146.51171875,21044.885363727408,21424.756336426788,1166340
2020-04-28,22488.396484375,23020.217279091463,22032.550597660316,22792.29433573412,649872
2020-04-29,22564.37109375,23172.165007776435,22488.396186753707,22792.294034090908,414960
2020-05-04,22374.435546875,23172.165867671116,21728.65504571017,21728.65504571017,860364
2020-05-05,22336.44921875,22792.29512117347,22222.487743144135,22412.42412936993,292728
2020-05-06,22792.294921875,23020.21787109375,22336.4490234375,22336.4490234375,774204
2020-05-07,24387.75390625,24387.75390625,23096.191208814103,23362.10070458528,1275684
2020-05-08,24387.75390625,25375.420545846813,24387.75390625,25071.52270735981,1035552
2020-05-11,24805.61328125,25375.42061710836,24007.883011048292,24691.651814078326,834024
2020-05-12,25299.447265625,25793.279726810077,24311.78056260681,24843.60136894707,1024596
2020-05-13,24767.626953125,25375.422681246397,24691.653822595876,25337.434335333764,1176300
2020-05-14,24311.78125,25071.525026160278,24159.83320702718,24463.731073620907,830436
2020-05-15,24501.71484375,24843.599236918606,24273.79191497093,24311.77847621815,768816
2020-05-18,24501.71484375,24729.63777252907,24083.855547439078,24691.651211281853,579600
