Price,Close,High,Low,Open,Volume
Ticker,VIC.VN,VIC.VN,VIC.VN,VIC.VN,VIC.VN
Date,,,,,
2020-01-02,51111.1171875,51111.1171875,50666.671875,51066.671875,990628
2020-01-03,51244.44921875,51244.44921875,50800.00390625,51111.1171875,560114
2020-01-06,50888.89453125,51111.1171875,50844.44921875,51111.1171875,679296
2020-01-07,50977.78125,51111.1171875,50800.00390625,50888.89453125,413796
2020-01-08,50800.00390625,50977.78125,50488.89453125,50888.89453125,1055046
2020-01-09,50977.78125,51155.55859375,50755.55859375,50800.00390625,832206
2020-01-10,51022.2265625,51111.1171875,50977.78125,51111.1171875,358018
2020-01-13,51066.671875,51155.55859375,50888.89453125,50977.78125,330028
2020-01-14,51111.1171875,51155.55859375,50800.00390625,51066.671875,6797586
2020-01-15,51111.1171875,51111.1171875,50800.00390625,51111.1171875,530098
2020-01-16,51111.1171875,51155.55859375,50800.00390625,51111.1171875,6145930
2020-01-17,51066.671875,51155.55859375,50844.44921875,51066.671875,380474
2020-01-20,51066.671875,51066.671875,50800.00390625,51066.671875,834006
2020-01-21,51066.671875,51111.1171875,50800.00390625,50800.00390625,466896
2020-01-22,51066.671875,51066.671875,50755.55859375,51066.671875,836504
2020-01-30,51066.671875,51066.671875,49822.2265625,50711.1171875,1536118
2020-01-31,51022.2265625,51066.671875,50488.89453125,51066.671875,1871414
2020-02-03,51022.2265625,51022.2265625,49911.1171875,50577.78125,1710944
2020-02-04,51022.2265625,51022.2265625,49688.89453125,50488.89453125,3342374
2020-02-05,50888.89453125,51022.2265625,50222.2265625,51022.2265625,1900776
2020-02-06,50844.44921875,50977.78125,50133.3359375,50888.89453125,1691998
2020-02-07,50844.44921875,50844.44921875,49777.78125,50666.671875,3057434
2020-02-10,50533.3359375,50711.1171875,50222.2265625,50222.2265625,433574
2020-02-11,50400.00390625,50755.55859375,50222.2265625,50444.44921875,653916
2020-02-12,49777.78125,50400.00390625,49777.78125,50400.00390625,1018776
2020-02-13,49955.55859375,50088.89453125,49511.1171875,49555.55859375,642014
2020-02-14,48888.89453125,50044.44921875,48888.89453125,49911.1171875,905376
2020-02-17,48000.00390625,48888.89453125,46666.671875,48888.89453125,2119994
