Price,Close,High,Low,Open,Volume
Ticker,VNM.VN,VNM.VN,VNM.VN,VNM.VN,VNM.VN
Date,,,,,
2023-07-17,61870.484375,62982.95504840941,61784.909707814666,62469.507045297374,5802800
2023-07-19,62127.20703125,62469.505692579194,61956.0577005854,62041.6323659177,3025100
2023-07-20,62127.20703125,62298.35636191459,61870.4830352531,62127.20703124999,2600707
2023-07-21,62897.37109375,62897.37109375,62041.624548256805,62127.19920280612,3821822
2023-07-24,62982.94921875,63325.247855808426,62726.225240956184,62897.3745594854,2535331
2023-07-26,64180.99609375,64352.145416666666,63581.97346354167,63667.548125,3189718
2023-07-28,66234.7890625,66491.51305111434,64694.445130813954,64865.59445655685,6143629
2023-08-03,62127.20703125,63410.8270112345,62127.20703124999,63410.8270112345,2917624
2023-08-04,62469.5,62469.5,61613.75342465754,62041.62671232877,3165221
2023-08-07,64095.41796875,64095.41796875,61870.47689106309,62383.92483206776,5087933
2023-08-08,63753.13671875,64095.435439387584,63239.688637793624,63924.28607906879,3510526
2023-08-09,62555.08203125,63753.12737794973,62298.358028385774,63753.12737794973,3727162
2023-08-10,62555.08203125,63325.25403984268,62383.932696007185,62555.08203125,2813226
2023-08-11,62897.37109375,62897.37109375,61956.04989370748,62555.07247555272,2204332
2023-08-14,62811.80078125,62897.37544171492,62041.628837065735,62811.80078124999,3366514
2023-08-15,62298.3671875,62811.815268715654,62212.79250729739,62383.94186770261,2259703
2023-08-16,62555.08203125,62897.38070173564,62041.63402552155,62298.358028385774,2083904
2023-08-17,62982.94921875,63753.121152131454,62383.92660389776,62555.07592242697,4650904
2023-08-18,62726.23046875,64009.85046469986,61699.33447199011,62897.37980154331,7106201
2023-08-21,62383.9296875,63154.10165895062,62212.78036051098,62212.78036051098,3617708
2023-08-22,62212.7734375,62640.64670735901,60843.57897395117,62640.64670735901,3075108
2023-08-23,62897.37109375,62982.94574829932,61271.452657312926,61956.04989370748,4172801
2023-08-24,63924.2734375,64095.42276397256,62469.50416248327,62897.37747866466,5206002
2023-08-25,64095.41796875,64437.71659608645,63581.97002774533,64437.71659608645,3045401
2023-08-28,66662.6640625,66833.8133925706,64180.99877647625,64180.99877647625,6034900
2023-08-29,66234.7890625,66405.9383882429,65207.893108042634,66320.36372537144,4199801
2023-08-30,66577.09375,67176.11644440873,65464.623031812334,65892.49638496144,2659700
2023-08-31,66577.09375,67518.41512692801,65978.07105559125,66320.36973811054,4386000
2023-09-05,68545.3046875,68887.60333762484,66833.81143687578,67176.11008700062,6839901
2023-09-06,68459.734375,68545.30904296874,68031.86103515625,68545.30904296874,2280401
2023-09-07,68031.859375,68459.73270440252,67261.68738207547,68374.15803852201,3726700
2023-09-08,68459.734375,68545.30904296874,67689.56236328125,67775.13703125,2774901
2023-09-11,68031.859375,69401.05402908805,66405.94072327044,68459.73270440252,4234900
2023-09-12,68716.4609375,69058.75962212018,67004.96751439913,67603.99021248444,2708500
2023-09-13,67689.5546875,68716.45058667826,67347.25605444059,68117.42797882427,2507600
2023-09-14,67946.28125,68459.72921914358,67090.53463476071,67176.10929628463,2660100
2023-09-15,68031.859375,69486.62869496855,67603.98604559748,67946.2847091195,5614800
2023-09-18,67518.4140625,68288.58608602661,67347.26472393853,67689.56340106147,1499600
2023-09-19,67518.4140625,67518.4140625,66234.79402328897,67176.11538537705,2571703
2023-09-20,67004.96875,67432.84211366539,66748.24473180076,67090.54342273308,2403202
2023-09-21,66748.2421875,67004.96619591345,66149.21950120192,66833.81685697116,2577902
2023-09-22,66320.359375,67004.95663306452,64865.590201612904,65978.06074596774,4361903
2023-09-25,66405.9375,67176.10945554124,65635.76554445876,66063.63885309278,2795503
2023-09-26,65122.31640625,66748.23494990144,65036.74174605782,66405.93630913273,2634600
2023-09-27,65550.1875,65550.1875,64009.84366840731,65293.463528067885,2273300
2023-09-28,64009.859375,65379.054227941175,64009.859375,65122.330193014706,2034300
2023-09-29,63496.39453125,65379.036956704855,63496.39453125,64180.991776869945,1403900
2023-10-02,64694.453125,64694.45312499999,63496.407696759255,63496.407696759255,1304901
2023-10-03,63325.25,64266.571283783785,63239.67533783784,63838.69797297297,2013700
2023-10-04,63667.5546875,63838.70402805779,62811.80798471102,62982.95732526881,1177900
2023-10-05,62212.7734375,63667.542555020635,62212.7734375,63410.81859310523,2645700
2023-10-06,63496.39453125,63496.39453125,62127.20004001011,62212.7746957126,1327000
2023-10-09,63068.53515625,63410.83385452002,62982.9604816825,63325.25917995251,1621374
2023-10-10,63667.5546875,64181.00270917339,63325.25600638441,63581.9800172211,1123900
2023-10-11,63667.5546875,64009.853368615586,63325.25600638441,63838.70402805779,1898774
2023-10-12,64608.875,64951.17367549669,63753.12831125828,63753.12831125828,2534800
2023-10-13,64865.59765625,65293.470991713395,64181.000319508574,64523.29898787929,1560000
2023-10-16,64352.15625,64865.60430518617,63924.282870678195,64266.58157413564,1374400
2023-10-17,64009.859375,65122.330193014706,64009.859375,64437.73276654412,1595900
2023-10-18,63239.671875,64009.843792286876,61956.05201285521,64009.843792286876,2572400
2023-10-19,61100.3125,62811.80584733893,60672.43916316526,62811.80584733893,4007700
2023-10-20,61870.484375,62041.63370937068,60073.416364107885,61014.73770314662,2371808
2023-10-23,60073.41015625,61613.75400641026,59987.83549790776,61357.03003138355,2804900
2023-10-24,60158.9921875,60586.865531650066,59987.842849839966,60073.41751866999,1099508
2023-10-25,59046.51953125,60586.86351902174,59046.51953125,60158.99018908515,2477700
2023-10-26,57335.0234375,58704.21802705224,56393.70215718283,58618.64336520522,5201700
2023-10-27,58190.76953125,58190.76953125,56992.72427619485,57591.74690372242,1811000
2023-10-30,57848.4765625,58190.77524038461,57420.60321514423,58105.20057091346,1112000
2023-10-31,58190.76953125,59474.38944738051,57848.470886948526,58105.19487017463,2183600
2023-11-01,60244.56640625,60330.1410744407,58105.1997014826,59046.521051580254,2337200
2023-11-02,60672.44140625,60672.44140625,59731.12003041255,60330.14272412729,2390200
2023-11-03,59902.26171875,60672.43365513393,59731.112399553575,60672.43365513393,1692700
2023-11-06,60758.015625,61185.88897447183,59987.843595950704,60073.418265845066,1136800
2023-11-07,60586.86328125,60586.86328125,59731.11662473517,60330.139284295554,1474700
2023-11-08,61100.3125,61185.88716736695,59731.11782212885,60586.86449579832,2339600
2023-11-09,60501.2890625,61699.3343904703,60501.2890625,61271.46105905234,3420100
2023-11-10,59559.96484375,60586.86078933189,59559.96484375,60586.86078933189,2833100
2023-11-13,58789.79296875,59902.263578056765,58704.218306495626,59645.539591293666,1730800
2023-11-14,58960.9453125,59388.81864568215,58361.92264604499,59046.51997913643,2996000
2023-11-15,60501.2890625,61442.61039161952,59902.266398514854,59902.266398514854,3949400
2023-11-16,60158.9921875,61014.73887580014,59816.69351217994,60415.71619399004,2368200
2023-11-17,59902.26171875,60843.582974330355,59217.66444196428,60758.00831473214,2335800
2023-11-20,59303.2421875,59816.690171807364,59046.518195346325,59217.66752344878,2001000
2023-11-21,59474.39453125,59731.11853642086,58960.94652090827,59388.81986285971,2989800
2023-11-22,59388.82421875,60073.42161608429,59046.525520082854,59474.39889341679,1533200
2023-11-23,58789.79296875,59816.6889158024,58789.79296874999,59731.11425354803,1653100
2023-11-24,58447.49609375,58960.944082860544,57848.473439787704,58704.22008830527,3128900
2023-11-27,58276.35546875,58533.07950165198,58105.20611348201,58447.50482401799,1333300
2023-11-28,58618.6484375,58618.6484375,57762.901744981755,58276.3497604927,2192953
2023-11-29,58533.07421875,58875.37289839181,58361.924878929094,58618.64888866046,1419153
2023-11-30,57677.32421875,58789.79486391877,57677.32421875,58533.070868879826,2630600
2023-12-01,58533.07421875,58618.64888866046,57934.051529376826,58190.77553910819,1558800
2023-12-04,58875.375,59474.39771075582,58533.076308139534,58618.650981104656,3006600
2023-12-05,58276.35546875,59046.527567455945,58190.780791116005,58875.378212187956,2302100
2023-12-06,58618.6484375,58704.22310675183,58276.3497604927,58276.3497604927,1606600
2023-12-07,58533.07421875,58875.37289839181,57762.90218955592,58875.37289839181,3921300
2023-12-08,59046.51953125,59303.243529211955,58190.772871376816,58533.07153532609,3729400
2023-12-11,59902.26171875,60330.13501674107,59816.68705915179,60330.13501674107,4763200
2023-12-12,59388.82421875,59987.846941417505,59046.525520082854,59902.27226675072,2788700
2023-12-13,58361.91796875,59645.53786542339,58276.34330897177,59559.96320564516,4601000
2023-12-15,58276.35546875,58704.228856919966,58276.35546875,58618.65417928597,4122500
2023-12-18,57335.0234375,58361.91937966418,57335.0234375,58276.34471781716,3613100
2023-12-19,57335.0234375,57677.32208488806,56736.00080457089,57420.598099347015,3151900
2023-12-20,58276.35546875,58361.930146383995,57335.034014776065,57335.034014776065,2623900
2023-12-21,58019.62109375,58447.49440565081,58019.62109374999,58105.19575613016,2875900
2023-12-22,57848.4765625,58276.349909855766,57762.901893028844,58019.625901442305,2620700
2023-12-25,58105.20703125,58789.80446313513,57848.48299429308,57848.48299429308,3128279
2023-12-26,58190.76953125,58618.64283662684,58190.76953125,58447.4935144761,1975400
2023-12-27,58190.7734375,58794.233310185184,58190.7734375,58621.816203703704,1736400
2023-12-28,59052.859375,59052.859375,58190.77383667883,58190.77383667883,2873700
2023-12-29,58276.984375,59225.27849944527,58276.984375,59225.27849944527,2257800
2024-01-02,58880.4453125,59052.86242908126,58535.61107933748,58794.23675420937,2142800
2024-01-03,59483.8984375,59483.8984375,58621.81295289855,58966.64714673913,1979801
2024-01-04,59483.8984375,59914.94117980073,59483.8984375,59570.10698596015,3401500
2024-01-05,59311.484375,59742.527139353195,59052.85871638808,59742.527139353195,1775700
2024-01-08,58794.23046875,59570.10741041972,58794.23046875,59483.898861345304,2396400
2024-01-09,58708.02734375,59052.86157190712,58621.81878671072,58794.235900789274,2579400
2024-01-10,58190.7734375,58708.02475694444,58104.564884259256,58708.02475694444,3006600
2024-01-11,58535.61328125,59052.86465045103,58190.77903511598,58190.77903511598,2083900
2024-01-12,57932.140625,58535.600423177086,57759.723539806546,58276.9747953869,3283000
2024-01-15,57759.72265625,58190.765362639926,57759.72265625,57932.13973880597,2336501
2024-01-16,58104.5703125,58104.5703125,57501.11038343843,57759.73606732196,2072400
2024-01-17,57845.9375,58535.605905365126,57759.728949329365,58190.77170268256,1916400
2024-01-19,58621.8125,59139.06378676471,58104.5612132353,58104.5612132353,2809300
2024-01-22,58880.4453125,59225.27954566252,58621.81963762811,58621.81963762811,1959800
2024-01-23,58363.1875,58880.43879246676,58276.978951255536,58880.43879246676,2252000
2024-01-24,58018.35546875,58621.81533246657,57932.146916790494,58449.39822854755,2083500
2024-01-25,57673.52734375,58190.77871006166,57673.52734375,58104.57014900972,2800500
2024-01-26,57759.72265625,58190.765362639926,57759.72265625,57759.72265625,1675800
2024-01-29,57759.72265625,58018.348280083956,57673.514114972015,57845.931197527985,2153800
2024-01-30,57673.52734375,58018.36158795777,57673.52734375,58018.36158795777,1840400
2024-01-31,57759.72265625,58794.22515158582,57673.514114972015,57932.13973880597,4441100
2024-02-01,58190.7734375,58449.39909722222,57932.147777777776,57932.147777777776,2549300
2024-02-02,58104.5703125,58363.19599638353,57759.73606732196,58190.778873794516,2677300
2024-02-05,58621.8125,58794.22959558824,57932.14411764706,58104.5612132353,3565900
2024-02-06,58276.984375,58794.235715606505,58276.984375,58708.027158838755,2463800
2024-02-07,58276.984375,58535.610045303256,57932.150147928995,58276.984375,2736300
2024-02-15,58276.984375,58621.818602071005,57932.150147928995,58276.984375,4115500
2024-02-16,60345.984375,60604.61002232143,58190.770647321435,58449.39629464286,11114600
2024-02-19,61983.9453125,62587.405141689844,60949.442748174544,61121.85984222878,7144500
2024-02-20,61639.11328125,62414.99023164335,61466.69618116258,61811.53038133741,4435700
2024-02-21,61466.703125,61983.954483695656,61208.077445652176,61639.120244565216,3590200
2024-02-22,61725.32421875,62673.61830590957,61294.28145185929,61466.69855861557,4698100
2024-02-23,61208.07421875,62673.61965779049,61208.07421875,61897.742660651405,6142500
2024-02-26,61208.07421875,61811.53410541373,60949.44855303697,61208.07421875,3138400
2024-02-27,62070.16015625,62414.99437934027,61294.28315429687,61380.491710069444,5282500
2024-02-28,62242.578125,62587.41235283933,61639.11822628116,62414.99523891967,3509000
2024-02-29,62070.16015625,63190.8713812934,61725.32593315972,62587.41149088541,6568800
2024-03-01,61639.11328125,62156.364581512236,61380.48763111888,62156.364581512236,4487700
2024-03-04,62070.16015625,62673.62004665798,61725.32593315972,61897.74304470486,5014600
2024-03-05,62932.23828125,62932.23828125,61811.52718857021,62070.15282534247,5530900
2024-03-06,61897.74609375,63363.291614075555,61897.74609375,63190.874494037256,4833900
2024-03-07,62070.16015625,62156.368712022566,61466.70026584201,61811.53448893229,5217600
2024-03-08,60345.984375,62846.032299107144,60345.984375,62156.36390625,7361000
2024-03-11,61393.96875,62267.28267247511,61131.97457325747,61568.63153449502,4268400
2024-03-12,61131.96484375,61655.953113839285,61131.96484375,61481.290357142854,3844000
2024-03-13,61830.62109375,61917.952479475636,61131.97000794491,61219.30139367055,5706500
2024-03-14,61568.62109375,62267.272113253544,61393.95833887411,62005.27798093971,5476400
2024-03-15,60860.94140625,62010.930124682054,60772.480735601384,62010.930124682054,4851100
2024-03-18,60064.79296875,61126.32097408873,59799.410967415315,60860.93897275405,6796300
2024-03-19,59976.3359375,60595.56064481932,59976.3359375,60595.56064481932,3222100
2024-03-20,60153.25390625,60684.01791130514,59710.950568704044,59976.332571231615,3657800
2024-03-21,60507.09765625,60595.55832533809,60064.79431080958,60330.176318073834,5061700
2024-03-22,59976.3359375,60772.4819897677,59976.3359375,60684.02131729351,6162600
2024-03-25,59534.03125,60330.1772845468,59357.109908989594,60064.7952730312,5588600
2024-03-26,59887.87109375,60064.792426375556,59534.028428498896,59622.48909481167,2524500
2024-03-27,59887.87109375,60153.253092688334,59710.949761124444,60153.253092688334,2815600
2024-03-28,59887.87109375,60507.09575793944,59799.41042743722,59887.87109375,4492200
2024-03-29,59799.4140625,60507.09943602071,59710.95339080991,60507.09943602071,3694900
2024-04-01,59268.6484375,59887.87312266791,59268.6484375,59799.41245335821,5013000
2024-04-02,59534.03125,59622.4919205052,59003.26722696879,59268.649238484395,4322900
2024-04-03,59003.26953125,59534.03357500937,59003.26953125,59534.03357500937,5046100
2024-04-04,60330.17578125,60507.09711785191,59003.26575673571,59003.26575673571,8598100
2024-04-05,60064.79296875,60330.174970084685,59887.87163452688,60330.174970084685,4233800
2024-04-08,59268.6484375,60153.25513059701,59180.1877681903,60153.25513059701,3716000
2024-04-09,59268.6484375,59534.0304454291,59091.7270988806,59357.1091068097,2516000
2024-04-10,59091.7265625,59534.02990503368,59091.7265625,59357.10856802021,4464100
2024-04-11,58914.8046875,59180.18669059685,58826.34401980105,59003.26535519895,2947700
2024-04-12,59003.26953125,59357.11222708958,58914.8088572901,59091.7302052099,2509200
2024-04-15,57410.97265625,59003.264655961095,57410.97265625,59003.264655961095,5776100
2024-04-16,56614.828125,57499.434814453125,55730.221435546875,57410.97414550782,7128700
2024-04-17,56791.75,57410.97468847352,56791.75,56968.671339563865,5144500
2024-04-19,56791.75,56968.671339563865,55995.60397196262,56791.75,4677100
2024-04-22,56614.828125,57764.81682128907,56614.828125,57234.05280761719,2035200
2024-04-23,56172.5234375,56880.20877214566,55907.14143700787,56791.74810531496,2139400
2024-04-24,56614.828125,56880.21013183594,56172.52478027344,56614.828125,2478300
2024-04-25,57234.05078125,57322.51144706337,56526.36545474305,56614.82612055641,2006000
2024-04-26,57499.43359375,58207.11893028847,57057.13025841346,57234.05159254808,2940600
2024-05-02,57853.27734375,57941.73801247133,57410.974000143346,57853.27734375,2563400
2024-05-03,58030.19921875,58384.041896913106,57941.73854920922,58030.19921875,2204400
2024-05-06,58207.1171875,58737.88117401216,57941.73519424393,58207.1171875,2261300
2024-05-07,60153.25390625,60595.55724379595,58295.57988855698,58384.040556066175,8723900
2024-05-08,60064.79296875,60153.25363586156,59357.107631857514,60153.25363586156,2984400
2024-05-09,58914.8046875,60064.79336758634,58914.8046875,60064.79336758634,2998000
2024-05-10,58826.34375,59710.950422932336,58472.50108082707,59003.26508458647,2438800
2024-05-13,58207.1171875,59091.72383168693,57853.274529825234,58914.80250284955,2882500
2024-05-14,58826.34375,59268.64708646617,58295.579746240604,58295.579746240604,2704800
2024-05-15,59268.6484375,59534.0304454291,59003.2664295709,59180.1877681903,3895400
2024-05-16,59445.5703125,59887.873663039434,59268.64897228423,59357.10964239211,3153300
2024-05-17,59268.6484375,59976.33379197761,59091.7270988806,59534.0304454291,4349200
2024-05-20,58737.87890625,59799.40683829066,58737.87890625,59357.103533273716,4941500
2024-05-21,58560.96484375,58914.807531627644,58207.122155872356,58737.88618768882,3821200
2024-05-22,58207.1171875,59003.26316726824,58207.1171875,58737.88117401216,3728300
2024-05-23,59268.6484375,59268.6484375,58207.12040578358,58384.04174440298,2991400
2024-05-24,58384.0390625,59180.18504971591,58118.65706676136,59003.26371922348,4194100
2024-05-27,58472.50390625,58914.8072640885,58207.1218915469,58472.50390625,2426600
2024-05-28,59091.7265625,59534.02990503368,58472.50188295284,58649.42321996632,5787500
2024-05-29,58649.42578125,59534.03250494909,58384.04376414027,59268.65048783936,3644200
2024-05-30,58118.6640625,58560.96744197108,57941.742710711565,58472.50676607686,4502600
2024-05-31,57853.27734375,58295.58068735665,57764.81667502867,58295.58068735665,4165400
2024-06-03,58472.50390625,58914.8072640885,58118.6612199792,58207.1218915469,3302200
2024-06-04,58384.0390625,58914.80305397727,58384.0390625,58472.49972774621,3755800
2024-06-05,60595.5546875,61214.7793339416,58560.959420620435,58560.959420620435,11865800
2024-06-06,59445.5703125,61037.86237444197,59445.5703125,61037.86237444197,4907800
2024-06-07,59976.3359375,60684.02131729351,59710.95392007744,59799.41459255163,4127600
2024-06-10,59445.5703125,60595.55902390253,59445.5703125,60507.098353794645,4584100
2024-06-11,58826.34375,59710.950422932336,58737.88308270677,59622.4897556391,6177000
2024-06-12,59268.6484375,59534.0304454291,58649.423752332084,58826.345090951494,3522696
2024-06-13,59180.1875,59622.490844544096,59091.726831091175,59268.64816890882,4003600
2024-06-14,58560.96484375,59534.03223541352,58560.96484375,59268.65021950529,4124200
2024-06-17,58384.0390625,58914.80305397727,58384.0390625,58649.42105823864,3617600
2024-06-18,58295.58203125,58826.34605581373,58295.58203125,58826.34605581373,2751700
2024-06-19,57764.81640625,58384.041084418066,57587.89506963055,58384.041084418066,6211000
2024-06-20,58384.0390625,59091.7243844697,57676.35374053031,57853.27507102273,4397100
2024-06-21,58384.0390625,59357.10638020834,58384.0390625,58826.342388731064,4023700
2024-06-24,57941.73828125,58914.80564169848,57764.81694298665,58472.50229604008,3871900
2024-06-25,57941.73828125,58560.962965171755,57941.73828125,58207.12028864504,3680600
2024-06-26,57676.35546875,58207.119476131134,57587.894800853144,58207.119476131134,2599300
2024-06-27,57764.81640625,58030.19841117917,57587.89506963055,57676.35573794027,2755400
2024-06-28,57941.73828125,58384.0416269084,57764.81694298665,57941.73828125,2821700
2024-07-01,58384.0390625,58384.0390625,57764.81440577652,58207.11773200757,1909300
2024-07-02,58560.96484375,58649.42551571941,58207.122155872356,58384.04349981118,2042800
2024-07-03,58560.96484375,58649.42551571941,58384.04349981118,58560.96484375,1437600
2024-07-04,58737.87890625,59180.18221126694,58649.41824524661,58649.41824524661,2688900
2024-07-05,59445.5703125,59710.952322823665,58737.88495163691,58737.88495163691,4285100
2024-07-08,59799.4140625,59887.87473419009,59268.65003235947,59534.03204742973,4942400
2024-07-09,59710.953125,59976.33513888889,59445.571111111116,59799.4137962963,5045200
2024-07-10,59091.7265625,59976.33324756737,59091.7265625,59710.95124204716,3991700
2024-07-11,58649.42578125,59268.65048783936,58649.42578125,59180.18981546946,3787100
2024-07-12,58649.42578125,58914.807798359725,58472.50443651018,58737.88645361991,2189900
2024-07-15,58560.96484375,59180.189547535876,58560.96484375,58649.42551571941,2155300
2024-07-16,58472.50390625,59003.2679356562,58472.50390625,58737.8859209531,2243700
2024-07-17,58118.6640625,58826.34946965373,58030.20338660578,58560.96744197108,3464800
